"university_id","survey_year","non_teaching_staff_count_id"
"0578","2015","459368"
"0578","2015","459369"
"0578","2015","459370"
"0578","2015","459371"
"0593","2015","459602"
"0593","2015","459603"
"0593","2015","459604"
"0593","2015","459605"
"0593","2015","459606"
"0593","2015","459607"
"0593","2015","459608"
"0593","2015","459609"
"0127","2015","459756"
"0127","2015","459757"
"0127","2015","459758"
"0127","2015","459759"
"0127","2015","459760"
"0127","2015","459761"
"0127","2015","459762"
"0127","2015","459763"
"0127","2015","459764"
"0127","2015","459765"
"0594","2015","460494"
"0591","2015","461190"
"0591","2015","461191"
"0591","2015","461192"
"0591","2015","461193"
"0591","2015","461194"
"0591","2015","461195"
"0788","2015","461476"
"0788","2015","461477"
"0123","2015","461744"
"0123","2015","461745"
"0123","2015","461746"
"0123","2015","461747"
"0625","2015","461794"
"0625","2015","461795"
"0625","2015","461796"
"0625","2015","461797"
"0232","2015","463191"
"0782","2015","465088"
"0783","2015","465214"
"0494","2015","466454"
"0494","2015","466455"
"0494","2015","466456"
"0494","2015","466457"
"0378","2015","466682"
"0378","2015","466683"
"0378","2015","466684"
"0057","2015","466856"
"0057","2015","466857"
"0057","2015","466858"
"0057","2015","466859"
"0057","2015","466860"
"0057","2015","466861"
"0354","2015","467074"
"0354","2015","467075"
"0354","2015","467076"
"0354","2015","467077"
"0218","2015","467556"
"0218","2015","467557"
"0218","2015","467558"
"0218","2015","467559"
"0250","2015","468652"
"0250","2015","468653"
"0250","2015","468654"
"0250","2015","468655"
"0250","2015","468656"
"0250","2015","468657"
"0250","2015","468658"
"0250","2015","468659"
"0670","2015","468730"
"0670","2015","468731"
"0670","2015","468732"
"0670","2015","468733"
"0670","2015","468734"
"0670","2015","468735"
"0588","2015","468764"
"0588","2015","468765"
"0588","2015","468766"
"0588","2015","468767"
"0588","2015","468768"
"0588","2015","468769"
"0588","2015","468770"
"0588","2015","468771"
"0588","2015","468772"
"0588","2015","468773"
"0588","2015","468774"
"0775","2015","469345"
"0132","2015","470246"
"0132","2015","470247"
"0132","2015","470248"
"0132","2015","470249"
"0132","2015","470250"
"0132","2015","470251"
"0132","2015","470252"
"0132","2015","470253"
"0572","2015","470674"
"0572","2015","470675"
"0572","2015","470676"
"0572","2015","470677"
"0572","2015","470678"
"0572","2015","470679"
"0153","2015","471891"
"0153","2015","471892"
"0153","2015","471893"
"0153","2015","471894"
"0153","2015","471895"
"0153","2015","471896"
"0130","2015","471975"
"0130","2015","471976"
"0130","2015","471977"
"0130","2015","471978"
"0595","2015","471982"
"0595","2015","471983"
"0595","2015","471984"
"0595","2015","471985"
"0595","2015","471986"
"0595","2015","471987"
"0595","2015","471988"
"0765","2015","472911"
"0765","2015","472912"
"0765","2015","472913"
"0663","2015","473350"
"0663","2015","473351"
"0663","2015","473352"
"0663","2015","473353"
"0663","2015","473354"
"0663","2015","473355"
"0663","2015","473356"
"0647","2015","473974"
"0647","2015","473975"
"0647","2015","473976"
"0647","2015","473977"
"0793","2015","474031"
"0597","2015","474193"
"0597","2015","474194"
"0571","2015","474656"
"0571","2015","474657"
"0571","2015","474658"
"0571","2015","474659"
"0571","2015","474660"
"0133","2015","475093"
"0133","2015","475094"
"0133","2015","475095"
"0133","2015","475096"
"0135","2015","475596"
"0135","2015","475597"
"0135","2015","475598"
"0135","2015","475599"
"0135","2015","475600"
"0135","2015","475601"
"0136","2015","475807"
"0136","2015","475808"
"0136","2015","475809"
"0136","2015","475810"
"0136","2015","475811"
"0136","2015","475812"
"0136","2015","475813"
"0136","2015","475814"
"0136","2015","475815"
"0136","2015","475816"
"0136","2015","475817"
"0136","2015","475818"
"0708","2015","476110"
"0708","2015","476111"
"0708","2015","476112"
"0708","2015","476113"
"0708","2015","476114"
"0708","2015","476115"
"0668","2015","476138"
"0668","2015","476139"
"0668","2015","476140"
