"standalone_institution_id","survey_year","accreditation_id"
"1820","2015","31430"
"1820","2015","31431"
"1820","2015","31432"
"15673","2015","31445"
"15675","2015","31469"
"4428","2015","31473"
"4877","2015","31476"
"1880","2015","31480"
"485","2015","31482"
"2476","2015","31485"
"7055","2015","31511"
"8870","2015","31533"
"1856","2015","31552"
"4440","2015","31553"
"13934","2015","31560"
"8864","2015","31564"
"3747","2015","31566"
"4504","2015","31583"
"15520","2015","31589"
"13389","2015","31605"
"15558","2015","31614"
"1148","2015","31618"
"15594","2015","31645"
"15661","2015","31655"
"4752","2015","31685"
"394","2015","31686"
"394","2015","31687"
"394","2015","31688"
"15797","2015","31697"
"15827","2015","31698"
"15827","2015","31699"
"4173","2015","31701"
"4471","2015","31704"
"4769","2015","31710"
"15494","2015","31731"
"15495","2015","31739"
"15448","2015","31741"
"3736","2015","31744"
"3852","2015","31748"
"14492","2015","31782"
"14818","2015","31791"
"1161","2015","31796"
"3859","2015","31798"
"15556","2015","31821"
"15556","2015","31822"
"4814","2015","31824"
"3855","2015","31833"
"3705","2015","31842"
"12720","2015","31850"
"15657","2015","31861"
"1731","2015","31867"
"12853","2015","31882"
"7563","2015","31885"
"675","2015","31886"
