"id","count_by_category_id"
"16213","5490858"
"16257","5503714"
"12353","4326281"
"15365","5244787"
"12483","4373243"
"12684","4439372"
"13784","4753673"
"15817","5359804"
"16652","5594900"
"15696","5325000"
"14649","5018296"
"16422","5553832"
"16710","5627554"
"13374","4630188"
"13130","4569832"
"12339","4322110"
"14235","4881364"
"14900","5087776"
"14607","4995934"
"14434","4939255"
"12300","4314748"
"14686","5026951"
"13139","4573761"
"14703","5030069"
"12473","4369912"
"13131","4569842"
"12416","4351287"
"16026","5428937"
"13302","4615024"
"15473","5276047"
"14432","4938561"
"14617","5000791"
"14388","4929592"
"14948","5099759"
"15193","5184295"
"12662","4426031"
"12909","4507305"
"16343","5530397"
"13438","4651101"
"15012","5125989"
"16258","5503732"
"14395","4931802"
"15937","5400404"
"14624","5003001"
"15108","5159466"
"14877","5080688"
"14562","4980455"
"14027","4823246"
"12988","4527894"
"15995","5418413"
"13590","4700402"
"13022","4537116"
"14933","5095999"
"12766","4467220"
"15053","5143988"
"13420","4646188"
"13899","4783574"
"14905","5088703"
"13464","4658591"
"13207","4593755"
"16685","5608423"
"12223","4287450"
"12504","4378562"
"13619","4707598"
"12293","4312853"
"15344","5237383"
"12871","4495356"
"13187","4587495"
"15028","5131435"
"14241","4883349"
"16115","5457475"
"12659","4425628"
"12688","4440574"
"13041","4540385"
"16195","5484577"
"16295","5514166"
"12141","4258172"
"13856","4772488"
"15462","5273381"
"15075","5150481"
"14886","5082967"
"12763","4465549"
"14539","4972882"
"12424","4354722"
"15633","5315614"
"14308","4904939"
"15299","5225014"
"15702","5327249"
"13260","4604534"
"12629","4416186"
"12492","4376053"
"13466","4659744"
"14554","4977747"
"12394","4339943"
"14855","5075433"
"13388","4634340"
"12281","4306484"
"13308","4615832"
"13690","4724450"
"16390","5543197"
"13223","4596850"
"13538","4684013"
"14029","4824647"
"16363","5534706"
"13941","4795927"
"13126","4569498"
"13341","4624505"
"12889","4502449"
"13212","4594555"
"13782","4752976"
"12441","4361317"
"13410","4641581"
"12916","4508656"
"13657","4715631"
"14205","4873623"
"15770","5347608"
"16578","5567965"
"16378","5539038"
"12746","4462174"
"12414","4350690"
"15897","5381505"
"14213","4875521"
"16656","5596235"
"13546","4686125"
"12716","4449355"
"13348","4626277"
"14137","4853841"
"14119","4847137"
"13069","4550636"
"16016","5426773"
"16306","5520221"
"12999","4531449"
"15317","5230692"
"12448","4362362"
"14953","5101113"
"16673","5602920"
"12465","4367922"
"13497","4669560"
"13863","4774342"
"13876","4776927"
"16412","5548117"
"14333","4913168"
"15224","5193422"
"16379","5539089"
"15073","5150025"
"13809","4759420"
"13659","4716077"
"15775","5348715"
"16104","5455018"
"13973","4806830"
"15427","5262192"
"12686","4440313"
"14831","5065048"
"16581","5568372"
"12445","4361987"
"13744","4740337"
"12938","4515160"
"16289","5512168"
"14523","4968427"
"14955","5101539"
"14113","4846091"
"12531","4388357"
"13572","4693772"
"12389","4338516"
"16211","5488998"
"14621","5002299"
"12769","4468581"
"16326","5526344"
"14286","4898178"
"16702","5624368"
"16567","5563030"
"12166","4264727"
"15933","5393017"
"14393","4931098"
"15011","5125612"
"15209","5187012"
"16166","5477608"
"16227","5495773"
"14004","4816882"
"12505","4378665"
"14361","4922014"
"14700","5029847"
"15968","5411708"
"12860","4492317"
"15031","5132471"
"12177","4271536"
"12848","4487811"
"12296","4313840"
"12126","4254487"
"14566","4981755"
"14906","5088837"
"15090","5154286"
"15122","5163633"
"13373","4630093"
"16066","5444441"
"14201","4872921"
"13047","4541386"
"16358","5533747"
"13305","4615188"
"13549","4687214"
"13661","4716488"
"12582","4400832"
"14247","4887253"
"15235","5196604"
"13280","4610773"
"15726","5334424"
"16397","5545344"
"14958","5101983"
"15312","5229481"
"13907","4785236"
"15150","5174453"
"15603","5307988"
"15291","5222802"
"12087","4244973"
"16688","5609466"
"13277","4609675"
"16241","5500919"
"12188","4274034"
"12287","4310437"
"14693","5028286"
"15760","5343715"
"13928","4790097"
"14209","4874158"
"15284","5221393"
"14284","4897291"
"15051","5142800"
"14273","4894744"
"15211","5187611"
"14873","5079939"
"16056","5440007"
"12541","4390985"
"14183","4868741"
"16380","5539726"
"16098","5453736"
"13051","4542321"
"12442","4361630"
"14800","5055992"
"13407","4640156"
"15074","5150155"
"15945","5401504"
"13976","4807218"
"13681","4722921"
"15292","5223343"
"12488","4375295"
"14661","5020851"
"15911","5386955"
"16170","5478242"
"15197","5184953"
"13315","4616991"
"15595","5300608"
"16111","5456800"
"13878","4778307"
"13418","4645487"
"15849","5366774"
"13880","4778898"
"14106","4844896"
"15384","5249729"
"14790","5052059"
"12455","4365078"
"13109","4565726"
"13181","4586718"
"14936","5096216"
"15508","5288059"
"14452","4945167"
"14740","5040703"
"13061","4546007"
"13301","4614838"
"15998","5419210"
"16658","5596687"
"16357","5533469"
"14266","4891226"
"16640","5590464"
"14561","4979254"
"13697","4725723"
"12469","4368950"
"15274","5218473"
"14152","4857962"
"12758","4464957"
"15704","5328427"
"14694","5028533"
"16404","5546501"
"14890","5084443"
"14320","4909727"
"15608","5312426"
"13923","4788393"
"13715","4732780"
"15987","5416074"
"15218","5190863"
"14622","5002354"
"12243","4295884"
"13850","4771630"
"13303","4615074"
"13376","4632309"
"12113","4250372"
"13075","4554786"
"12407","4345558"
"13476","4662740"
"14938","5096429"
"15409","5257170"
"14177","4866191"
"13015","4535232"
"15514","5290977"
"12082","4243682"
"14429","4937450"
"15742","5339669"
"14344","4917537"
"13529","4681467"
"14848","5071331"
"15230","5194059"
"14125","4849081"
"13533","4682311"
"14823","5062884"
"15228","5193630"
"16116","5457525"
"14311","4906319"
"15302","5225862"
"12683","4439023"
"14317","4908259"
"15751","5341614"
"12537","4390543"
"15087","5153651"
"14254","4890000"
"12859","4491768"
"12395","4340784"
"16552","5558406"
"12478","4371608"
"14149","4857614"
"12069","4238794"
"15822","5360522"
"13514","4675035"
"13927","4789998"
"15337","5235759"
"13584","4699055"
"12119","4252672"
"14002","4815958"
"16160","5475616"
"14288","4899566"
"14609","4998461"
"13321","4618117"
"12822","4480515"
"12847","4487582"
"14895","5086650"
"15465","5273807"
"15664","5319687"
"15756","5342264"
"12089","4245161"
"14225","4878938"
"16063","5443618"
"14735","5038737"
"13317","4617451"
"14442","4941860"
"14324","4910854"
"14679","5025036"
"15647","5317523"
"12904","4506162"
"13021","4537056"
"14775","5048827"
"12931","4512436"
"12577","4399332"
"12212","4284808"
"15245","5200085"
"16304","5519823"
"16087","5450402"
"14526","4968880"
"15368","5245709"
"13276","4609145"
"15086","5153058"
"12942","4515785"
"13103","4563431"
"14983","5115785"
"12892","4504052"
"15334","5233599"
"13291","4612652"
"16555","5559527"
"12073","4241421"
"13506","4672653"
"14064","4832656"
"13070","4550817"
"12946","4516395"
"15435","5264893"
"12882","4499809"
"15660","5319184"
"13837","4766399"
"14359","4920790"
"12996","4530979"
"12468","4368935"
"13350","4626447"
"12218","4286039"
"13769","4750380"
"13994","4813553"
"15014","5126751"
"12546","4391518"
"16328","5526551"
"12665","4426917"
"16335","5528202"
"13155","4578412"
"14581","4986611"
"12364","4329948"
"12595","4404996"
"13522","4679181"
"16590","5571483"
"12841","4486260"
"13890","4781860"
"12368","4330831"
"13866","4775051"
"15191","5183860"
"15596","5302475"
"15119","5163087"
"16424","5554476"
"14463","4947561"
"15743","5339908"
"14182","4868675"
"12251","4299101"
"13663","4717438"
"14494","4958112"
"15810","5358025"
"12288","4311440"
"13662","4717174"
"12879","4497103"
"12905","4506275"
"14304","4903708"
"13121","4567981"
"14516","4967326"
"14729","5036734"
"12143","4258404"
"12637","4419072"
"14791","5052335"
"15408","5257078"
"16252","5503187"
"13765","4747949"
"14041","4827554"
"13123","4568489"
"15027","5130506"
"16591","5571493"
"14196","4872009"
"15776","5348779"
"14358","4920467"
"15939","5400549"
"12452","4364083"
"13091","4561213"
"14481","4954572"
"15174","5181114"
"16693","5611742"
"13337","4623341"
"15843","5366052"
"13964","4803316"
"14774","5048186"
"14117","4846427"
"14977","5113838"
"16322","5525360"
"15175","5181255"
"12604","4407044"
"15879","5376990"
"14226","4879431"
"12131","4256477"
"16344","5530767"
"12535","4389539"
"15043","5139846"
"13910","4786589"
"15434","5264873"
"13053","4542905"
"12835","4484207"
"12474","4370233"
"13707","4729837"
"15308","5228009"
"14620","5002269"
"15007","5124310"
"15164","5178074"
"14568","4982169"
"12858","4491744"
"15865","5370521"
"14153","4858103"
"13714","4732464"
"12357","4327366"
"13911","4786712"
"12964","4519250"
"12303","4315121"
"16024","5428558"
"14500","4960676"
"12585","4401839"
"13838","4766561"
"13846","4770102"
"13043","4540843"
"14190","4870092"
"12211","4284329"
"14342","4917148"
"15270","5217042"
"16553","5559229"
"16249","5502178"
"16550","5555142"
"13432","4649754"
"16088","5452222"
"12479","4371871"
"12864","4493269"
"16554","5559446"
"14881","5081469"
"12527","4387637"
"12809","4476309"
"14151","4857773"
"12100","4247667"
"12681","4438911"
"16403","5546491"
"15873","5374403"
"12099","4247587"
"16077","5446766"
"13065","4549021"
"15671","5321197"
"15913","5387133"
"15932","5392943"
"15974","5413666"
"16628","5584686"
"12606","4407332"
"14404","4932945"
"13991","4811066"
"14557","4978041"
