"university_id","department_id","survey_year"
"0266","988838","2015"
"0266","988839","2015"
"0266","988840","2015"
"0266","988841","2015"
"0266","988842","2015"
"0266","988843","2015"
"0266","988844","2015"
"0266","988845","2015"
"0266","988846","2015"
"0106","990992","2015"
"0106","990993","2015"
"0106","990994","2015"
"0106","990995","2015"
"0106","990996","2015"
"0106","990997","2015"
"0106","990998","2015"
"0106","990999","2015"
"0106","991000","2015"
"0106","991001","2015"
"0106","991002","2015"
"0106","991003","2015"
"0106","991004","2015"
"0106","991005","2015"
"0106","991006","2015"
"0770","993696","2015"
"0770","993697","2015"
"0517","997516","2015"
"0517","997517","2015"
"0517","997518","2015"
"0517","997519","2015"
"0517","997520","2015"
"0517","997521","2015"
"0517","997522","2015"
"0517","997523","2015"
"0517","997524","2015"
"0517","997525","2015"
"0517","997526","2015"
"0517","997527","2015"
"0517","997528","2015"
"0517","997529","2015"
"0517","997530","2015"
"0517","997531","2015"
"0517","997532","2015"
"0517","997533","2015"
"0517","997534","2015"
