"college_institution_id","survey_year","non_teaching_staff_count_id"
"6077","2015","439956"
"6077","2015","439957"
"557","2015","439958"
"557","2015","439959"
"557","2015","439960"
"557","2015","439961"
"47925","2015","439964"
"47925","2015","439965"
"182","2015","439966"
"182","2015","439967"
"182","2015","439968"
"182","2015","439969"
"182","2015","439970"
"5793","2015","439971"
"5793","2015","439972"
"5793","2015","439973"
"5793","2015","439974"
"5793","2015","439975"
"27214","2015","439976"
"27214","2015","439977"
"27214","2015","439978"
"27214","2015","439979"
"42098","2015","439980"
"42098","2015","439981"
"42098","2015","439982"
"47832","2015","439997"
"47832","2015","439998"
"47832","2015","439999"
"19665","2015","440000"
"19665","2015","440001"
"19665","2015","440002"
"52045","2015","440003"
"52045","2015","440004"
"6258","2015","440011"
"6258","2015","440012"
"6258","2015","440013"
"6258","2015","440014"
"6258","2015","440015"
"6332","2015","440016"
"6332","2015","440017"
"6332","2015","440018"
"6332","2015","440019"
"6332","2015","440020"
"6332","2015","440021"
"6332","2015","440022"
"6332","2015","440023"
"6307","2015","440024"
"6307","2015","440025"
"6307","2015","440026"
"49484","2015","440030"
"49484","2015","440031"
"49484","2015","440032"
"48503","2015","440034"
"45223","2015","440035"
"45223","2015","440036"
"52077","2015","440037"
"52077","2015","440038"
"81","2015","440042"
"6082","2015","440043"
"6082","2015","440044"
"6082","2015","440045"
"6082","2015","440046"
"47251","2015","440048"
"47251","2015","440049"
"47251","2015","440050"
"6234","2015","440052"
"6234","2015","440053"
"6234","2015","440054"
"6234","2015","440055"
"6234","2015","440056"
"6234","2015","440057"
"6234","2015","440058"
"6234","2015","440059"
"6234","2015","440060"
"48834","2015","440067"
"48834","2015","440068"
"45251","2015","440069"
"45251","2015","440070"
"45251","2015","440071"
"45251","2015","440072"
"45251","2015","440073"
"6858","2015","440074"
"6858","2015","440075"
"46","2015","440076"
"46","2015","440077"
"46","2015","440078"
"1177","2015","440079"
"43","2015","440080"
"43","2015","440081"
"8874","2015","440085"
"8874","2015","440086"
"8874","2015","440087"
"8874","2015","440088"
"8874","2015","440089"
"8874","2015","440090"
"8874","2015","440091"
"8874","2015","440092"
"440","2015","440097"
"440","2015","440098"
"440","2015","440099"
"877","2015","440100"
"877","2015","440101"
"877","2015","440102"
"877","2015","440103"
"7189","2015","440104"
"7189","2015","440105"
"15745","2015","440106"
"15745","2015","440107"
"15745","2015","440108"
"15745","2015","440109"
"25828","2015","440110"
"25828","2015","440111"
"25828","2015","440112"
"940","2015","440113"
"7134","2015","440120"
"7134","2015","440121"
"7166","2015","440126"
"7166","2015","440127"
"7166","2015","440128"
"7166","2015","440129"
"33926","2015","440132"
"1199","2015","440133"
"7132","2015","440134"
"7132","2015","440135"
"7132","2015","440136"
"7132","2015","440137"
"7132","2015","440138"
"49","2015","440139"
"49","2015","440140"
"45275","2015","440141"
"45275","2015","440142"
"45275","2015","440143"
"45275","2015","440144"
"47886","2015","440153"
"47886","2015","440154"
"47886","2015","440155"
"47886","2015","440156"
"47886","2015","440157"
"5976","2015","440159"
"5976","2015","440160"
"5976","2015","440161"
"21244","2015","440163"
"21244","2015","440164"
"21244","2015","440165"
"43067","2015","440166"
"43067","2015","440167"
"43067","2015","440168"
"43067","2015","440169"
"648","2015","440170"
"648","2015","440171"
"648","2015","440172"
"229","2015","440173"
"229","2015","440174"
"44306","2015","440175"
"44306","2015","440176"
"44306","2015","440177"
"44306","2015","440178"
"44306","2015","440179"
"1034","2015","440180"
"1034","2015","440181"
"1034","2015","440182"
"1034","2015","440183"
"41898","2015","440190"
"41898","2015","440191"
"41898","2015","440192"
"5855","2015","440193"
"5855","2015","440194"
"5855","2015","440195"
"11144","2015","440197"
"11144","2015","440198"
"33856","2015","440199"
"33856","2015","440200"
"47442","2015","440201"
"47442","2015","440202"
"47442","2015","440203"
"5881","2015","440206"
"5881","2015","440207"
"5881","2015","440208"
"850","2015","440212"
"850","2015","440213"
"850","2015","440214"
"850","2015","440215"
"528","2015","440220"
"528","2015","440221"
"528","2015","440222"
"44288","2015","440223"
"44288","2015","440224"
"44288","2015","440225"
"746","2015","440226"
"746","2015","440227"
"746","2015","440228"
"746","2015","440229"
"621","2015","440234"
"621","2015","440235"
"621","2015","440236"
"7219","2015","440237"
"795","2015","440238"
"795","2015","440239"
"795","2015","440240"
"795","2015","440241"
"7128","2015","440246"
"7128","2015","440247"
"7128","2015","440248"
"7128","2015","440249"
"7128","2015","440250"
"7128","2015","440251"
"7128","2015","440252"
"7128","2015","440253"
"7128","2015","440254"
"983","2015","440256"
"983","2015","440257"
"586","2015","440264"
"586","2015","440265"
"586","2015","440266"
"21072","2015","440282"
"42085","2015","440275"
"42085","2015","440276"
"42085","2015","440277"
"42085","2015","440278"
"42085","2015","440279"
"42085","2015","440280"
"42085","2015","440281"
"807","2015","440284"
"807","2015","440285"
"807","2015","440286"
"49854","2015","440290"
"49854","2015","440291"
"40549","2015","440295"
"6761","2015","440299"
"6761","2015","440300"
"6761","2015","440301"
"6761","2015","440302"
"6789","2015","440303"
"6789","2015","440304"
"6789","2015","440305"
"6789","2015","440306"
"6789","2015","440307"
"34144","2015","440308"
"34144","2015","440309"
"34144","2015","440310"
"5887","2015","440311"
"5887","2015","440312"
"5887","2015","440313"
"5887","2015","440314"
"5887","2015","440315"
"47814","2015","440316"
"7139","2015","440323"
"7139","2015","440324"
"509","2015","440333"
"509","2015","440334"
"25450","2015","440337"
"974","2015","440345"
"974","2015","440346"
"974","2015","440347"
"47824","2015","440355"
"25623","2015","440357"
"45120","2015","440358"
"35566","2015","440364"
"35566","2015","440365"
"46600","2015","440366"
"46600","2015","440367"
"46600","2015","440368"
"46600","2015","440369"
"46600","2015","440370"
"6842","2015","440371"
"6842","2015","440372"
"6842","2015","440373"
"6434","2015","440375"
"6434","2015","440376"
"6434","2015","440377"
"6434","2015","440378"
"6434","2015","440379"
"51694","2015","440380"
"6065","2015","440382"
"6065","2015","440383"
"5850","2015","440389"
"5850","2015","440390"
"20686","2015","440391"
"20686","2015","440392"
"20686","2015","440393"
"20686","2015","440394"
"20686","2015","440395"
"20686","2015","440396"
"42097","2015","440397"
"42097","2015","440398"
"11202","2015","440399"
"11202","2015","440400"
"40113","2015","440404"
"40113","2015","440405"
"40113","2015","440406"
"183","2015","440409"
"183","2015","440410"
"11005","2015","440411"
"436","2015","440412"
"436","2015","440413"
"436","2015","440414"
"436","2015","440415"
"436","2015","440416"
"436","2015","440417"
"18798","2015","440418"
"45059","2015","440424"
"45059","2015","440425"
"45059","2015","440426"
"45059","2015","440427"
"45059","2015","440428"
"495","2015","440429"
"495","2015","440430"
"495","2015","440431"
"495","2015","440432"
"495","2015","440433"
"495","2015","440434"
"555","2015","440435"
"555","2015","440436"
"555","2015","440437"
"7397","2015","440438"
"7397","2015","440439"
"7397","2015","440440"
"7397","2015","440441"
"7397","2015","440442"
"9342","2015","440447"
"9342","2015","440448"
"9342","2015","440449"
"9342","2015","440450"
"9342","2015","440451"
"9970","2015","440452"
"33342","2015","440453"
"33342","2015","440454"
"45281","2015","440458"
"45281","2015","440459"
"45281","2015","440460"
"40357","2015","440466"
"40357","2015","440467"
"40357","2015","440468"
"40357","2015","440469"
"39433","2015","440473"
"39433","2015","440474"
"39433","2015","440475"
"39433","2015","440476"
"39433","2015","440477"
"20687","2015","440478"
"20687","2015","440479"
"19949","2015","440480"
"19949","2015","440481"
"19949","2015","440482"
"19949","2015","440483"
"10173","2015","440484"
"9993","2015","440486"
"518","2015","440487"
"518","2015","440488"
"518","2015","440489"
"518","2015","440490"
"518","2015","440491"
"518","2015","440492"
"518","2015","440493"
"6091","2015","440500"
"6091","2015","440501"
"464","2015","440502"
"464","2015","440503"
"6851","2015","440508"
"6851","2015","440509"
"6851","2015","440510"
"48656","2015","440504"
"48656","2015","440505"
"48656","2015","440506"
"48656","2015","440507"
"187","2015","440511"
"187","2015","440512"
"187","2015","440513"
"6801","2015","440514"
"6801","2015","440515"
"11678","2015","440516"
"11678","2015","440517"
"11678","2015","440518"
