"id","staff_type_id","group_id","sanctioned_strength","posts_reserved_for_pwd","count_by_category_id"
"484282","3","2","1","","4609152"
"560815","1","1","2","","5356605"
"540351","2","2","1","","5145027"
"541923","2","3","1","","5164558"
"466151","2","2","6","","4449078"
"587606","4","4","42","","5607228"
"462326","1","4","416","","4420377"
"531151","2","1","25","","5049653"
"581161","1","2","25","","5543283"
"574260","3","3","1","","5479970"
"484099","2","2","1","","4607756"
"456988","1","3","10","","4377721"
"485478","2","3","0","","4618917"
"455444","1","3","7","","4366196"
"472104","2","3","1","","4497283"
"472199","2","2","1","","4499231"
"533597","2","3","1","","5073772"
"520154","1","4","58","","4936098"
"492611","1","3","6","","4678568"
"535364","2","1","2","","5089853"
"582223","4","4","6","","5554534"
"492794","2","2","1","","4680323"
"475353","1","3","1","","4528080"
"519121","2","2","1","","4925877"
"581538","2","3","1","","5547448"
"447980","1","4","10","","4309677"
"564457","1","3","0","","5389626"
"503082","1","3","3","","4768167"
"487893","2","2","3","","4638500"
"497641","3","3","1","","4718839"
"510608","2","4","1","","4840078"
"539278","3","1","1","","5130138"
"573788","1","3","1","","5476332"
"543317","2","2","2","","5178234"
"446575","2","2","1","","4298517"
"510388","1","4","2","","4837767"
"527981","3","1","1","","5018363"
"525234","1","2","9","","4985831"
"586427","1","1","20","","5595874"
"559953","1","4","2","","5348154"
"476792","1","4","3","","4541396"
"502072","4","3","2","","4758435"
"584023","2","2","5","","5571918"
"520367","1","4","7","","4937957"
"501893","4","4","11","","4756724"
"516468","1","3","5","","4901190"
"483084","2","1","1","","4599959"
"541253","3","4","0","","5155444"
"583583","2","1","0","","5567973"
"480118","3","1","1","","4573154"
"468178","1","2","18","","4465257"
"446074","1","3","16","","4294427"
"575773","2","2","1","","5493802"
"444402","1","2","1","","4279938"
"550654","1","4","24","","5251083"
"582715","1","4","50","","5559575"
"466895","1","2","3","","4455037"
"492044","1","3","9","","4673928"
"509126","1","4","2","","4825863"
"483295","2","3","3","","4601651"
"549411","1","4","6","","5239815"
"554950","3","3","2","","5292617"
"473952","1","4","5","","4515104"
"475378","1","4","3","","4528380"
"446405","1","3","0","","4297051"
"556031","3","2","1","","5304104"
"519482","2","2","1","","4930314"
"486462","2","2","2","","4626794"
"527559","2","1","1","","5012734"
"511125","1","3","7","","4845470"
"521261","1","1","5","","4947279"
"480145","1","4","4","","4573543"
"478211","1","4","22","","4555718"
"499461","1","4","7","","4734527"
"538375","1","4","3","","5120075"
"492638","3","2","1","","4678869"
"524926","1","3","11","","4982772"
"443172","1","3","3","","4269512"
"558076","1","2","3","","5327300"
"453769","1","3","4","","4353608"
"458727","2","2","1","","4391537"
"562473","4","4","2","","5371558"
"445831","3","1","1","","4292508"
"460144","1","2","55","","4402441"
"510392","2","2","1","","4837800"
