"standalone_institution_id","survey_year","teaching_staff_id"
"9166","2015","900078"
"9166","2015","900079"
"2130","2015","900216"
"2130","2015","900217"
"2130","2015","900218"
"2130","2015","900219"
"2130","2015","900220"
"2130","2015","900221"
"2130","2015","900222"
"2130","2015","900223"
"4618","2015","900241"
"4618","2015","900242"
"9812","2015","900286"
"9812","2015","900287"
"2857","2015","900288"
"2857","2015","900289"
"14606","2015","900357"
"14606","2015","900358"
"9391","2015","900426"
"9391","2015","900427"
"14997","2015","900428"
"14997","2015","900429"
"1379","2015","900433"
"1644","2015","900542"
"1644","2015","900543"
"1644","2015","900544"
"1644","2015","900545"
"1644","2015","900546"
"1644","2015","900547"
"3794","2015","900549"
"3794","2015","900550"
"9581","2015","900606"
"9581","2015","900607"
"14428","2015","900632"
"14428","2015","900633"
"14428","2015","900634"
"9935","2015","900652"
"10014","2015","900669"
"10014","2015","900670"
"5889","2015","900723"
"5889","2015","900724"
"14424","2015","900823"
"14424","2015","900824"
"14424","2015","900825"
"14424","2015","900826"
"14424","2015","900827"
"13800","2015","900836"
"13800","2015","900837"
"12786","2015","900865"
"12786","2015","900866"
"12786","2015","900867"
"12786","2015","900868"
"12786","2015","900869"
"12786","2015","900870"
"12694","2015","900877"
"12694","2015","900878"
"2165","2015","900972"
"2165","2015","900973"
"2165","2015","900974"
"2165","2015","900975"
"2165","2015","900976"
"2165","2015","900977"
"2165","2015","900978"
"2165","2015","900979"
"2165","2015","900980"
"2165","2015","900981"
"2165","2015","900982"
"2165","2015","900983"
"9255","2015","901033"
"9255","2015","901034"
"7896","2015","901099"
"7896","2015","901100"
"2828","2015","901137"
"2828","2015","901138"
"2828","2015","901139"
"2828","2015","901140"
"2828","2015","901141"
"2828","2015","901142"
"6165","2015","901179"
"9025","2015","901404"
"1445","2015","901465"
"12640","2015","901504"
"12640","2015","901505"
"6535","2015","901694"
"6535","2015","901695"
"12030","2015","901786"
"12030","2015","901787"
"9275","2015","901788"
"9275","2015","901789"
"3782","2015","901870"
"3782","2015","901871"
"1666","2015","901874"
"1666","2015","901875"
"2088","2015","901921"
"2088","2015","901922"
"10224","2015","901930"
"10224","2015","901931"
"9384","2015","901932"
"9384","2015","901933"
"8889","2015","902086"
"8889","2015","902087"
"14973","2015","902375"
"14973","2015","902376"
"10053","2015","902388"
"10053","2015","902389"
"9436","2015","902429"
"9436","2015","902430"
"9207","2015","902625"
"9207","2015","902626"
"9394","2015","902632"
"9394","2015","902633"
"9129","2015","902640"
"9129","2015","902641"
"9767","2015","902661"
"9767","2015","902662"
"9894","2015","902672"
"9894","2015","902673"
"1387","2015","902698"
"3337","2015","902722"
"14892","2015","902734"
"14892","2015","902735"
"14892","2015","902736"
"9844","2015","902813"
"9844","2015","902814"
"9028","2015","902893"
"9028","2015","902894"
"9450","2015","902945"
"9450","2015","902946"
"9133","2015","902953"
"9133","2015","902954"
"10065","2015","903044"
"10065","2015","903045"
"642","2015","903074"
"642","2015","903075"
"642","2015","903076"
"642","2015","903077"
"3245","2015","903112"
"3245","2015","903113"
"3245","2015","903114"
"10152","2015","903115"
"10152","2015","903116"
"3195","2015","903121"
"3195","2015","903122"
"3195","2015","903123"
"3195","2015","903124"
"3195","2015","903125"
"13973","2015","903128"
"13973","2015","903129"
"5494","2015","903206"
"5494","2015","903207"
"5494","2015","903208"
"4289","2015","903254"
"4289","2015","903255"
"9158","2015","903274"
"1900","2015","903364"
"1900","2015","903365"
"1900","2015","903366"
"1900","2015","903367"
"1900","2015","903368"
"1900","2015","903369"
"1900","2015","903370"
"8934","2015","903400"
"8934","2015","903401"
"3331","2015","903502"
"3331","2015","903503"
"10219","2015","903635"
"10219","2015","903636"
"8706","2015","903637"
"8706","2015","903638"
"10150","2015","903655"
"10150","2015","903656"
"12406","2015","903669"
"12406","2015","903670"
"798","2015","903723"
"798","2015","903724"
"4190","2015","903780"
"4190","2015","903781"
"10198","2015","903830"
"10198","2015","903831"
"10108","2015","904053"
"10108","2015","904054"
"14025","2015","904166"
"14025","2015","904167"
"13998","2015","904222"
"13998","2015","904223"
"6638","2015","904224"
"6638","2015","904225"
"2492","2015","904344"
"2492","2015","904345"
"2492","2015","904346"
"2492","2015","904347"
"2492","2015","904348"
"2492","2015","904349"
"2492","2015","904350"
"9610","2015","904379"
"9610","2015","904380"
"9430","2015","904397"
"9430","2015","904398"
"14164","2015","904401"
"12202","2015","904415"
"12202","2015","904416"
"3321","2015","904443"
"3321","2015","904444"
"3321","2015","904445"
"3321","2015","904446"
"9616","2015","904499"
"9616","2015","904500"
"5481","2015","904520"
"5481","2015","904521"
"8635","2015","904552"
"8635","2015","904553"
"5375","2015","904558"
"5375","2015","904559"
"3239","2015","904636"
"3239","2015","904637"
"3239","2015","904638"
"3239","2015","904639"
"3239","2015","904640"
"9461","2015","904656"
"9461","2015","904657"
"537","2015","904802"
"537","2015","904803"
"537","2015","904804"
"537","2015","904805"
"537","2015","904806"
"9026","2015","904813"
"9026","2015","904814"
"10188","2015","904841"
"10188","2015","904842"
"9698","2015","904843"
"9698","2015","904844"
"9913","2015","904845"
"9913","2015","904846"
"4221","2015","904849"
"4221","2015","904850"
"9580","2015","904851"
"9580","2015","904852"
"9338","2015","904888"
"3388","2015","904889"
"3388","2015","904890"
"3388","2015","904891"
"3388","2015","904892"
"3388","2015","904893"
"3388","2015","904894"
"3388","2015","904895"
"3388","2015","904896"
"9878","2015","904899"
"9878","2015","904900"
"2015","2015","904904"
"2015","2015","904905"
"2015","2015","904906"
"2015","2015","904907"
"2015","2015","904908"
"2015","2015","904909"
"14172","2015","904914"
"14172","2015","904915"
"9840","2015","904916"
"14497","2015","905003"
"14497","2015","905004"
"14497","2015","905005"
"9863","2015","905015"
"1993","2015","905036"
"1993","2015","905037"
"1993","2015","905038"
"1993","2015","905039"
"1993","2015","905040"
"1993","2015","905041"
"1993","2015","905042"
"1993","2015","905043"
"1993","2015","905044"
"1993","2015","905045"
"754","2015","905053"
"754","2015","905054"
"754","2015","905055"
"754","2015","905056"
"754","2015","905057"
"14733","2015","905073"
"14733","2015","905074"
"3285","2015","905091"
"3285","2015","905092"
"3285","2015","905093"
"3285","2015","905094"
"3285","2015","905095"
"9313","2015","905098"
"9313","2015","905099"
"7497","2015","905106"
"7497","2015","905107"
"1982","2015","905109"
"1982","2015","905110"
"9221","2015","905111"
"9221","2015","905112"
"3121","2015","905144"
"3121","2015","905145"
"3121","2015","905146"
"3121","2015","905147"
"3121","2015","905148"
"3121","2015","905149"
"3121","2015","905150"
"3121","2015","905151"
"3121","2015","905152"
"14591","2015","905282"
"14591","2015","905283"
"14152","2015","905284"
"14152","2015","905285"
"14152","2015","905286"
"9465","2015","905430"
"9465","2015","905431"
"10093","2015","905493"
"10093","2015","905494"
"9160","2015","905615"
"9160","2015","905616"
"10764","2015","905692"
"10764","2015","905693"
"1449","2015","905703"
"1449","2015","905704"
"1449","2015","905705"
"1449","2015","905706"
"1449","2015","905707"
"1449","2015","905708"
"1449","2015","905709"
"13427","2015","905901"
"13427","2015","905902"
"13992","2015","906060"
"13992","2015","906061"
"15169","2015","906092"
"15169","2015","906093"
"14154","2015","906094"
"14154","2015","906095"
"14154","2015","906096"
"5800","2015","906097"
"5800","2015","906098"
"8685","2015","906138"
"8685","2015","906139"
"9222","2015","906337"
"9222","2015","906338"
"5484","2015","906386"
"5484","2015","906387"
"5484","2015","906388"
"5491","2015","906510"
"5491","2015","906511"
"9205","2015","906682"
"9205","2015","906683"
"10075","2015","906684"
"10075","2015","906685"
"9897","2015","906687"
"9897","2015","906688"
"9380","2015","906718"
"9380","2015","906719"
"9393","2015","906781"
"9393","2015","906782"
"12748","2015","906791"
"12748","2015","906792"
"10172","2015","906855"
"10172","2015","906856"
"9566","2015","906997"
"9566","2015","906998"
"13479","2015","907041"
"13479","2015","907042"
"13479","2015","907043"
"13479","2015","907044"
"9421","2015","907228"
"9421","2015","907229"
"10455","2015","907276"
"10455","2015","907277"
"9045","2015","907391"
"9045","2015","907392"
"9604","2015","907462"
"9604","2015","907463"
"2976","2015","907490"
"2976","2015","907491"
"2976","2015","907492"
"2976","2015","907493"
"2976","2015","907494"
"2976","2015","907495"
"3910","2015","907535"
"3910","2015","907536"
"9405","2015","907551"
"9405","2015","907552"
"9518","2015","907625"
"9518","2015","907626"
"13909","2015","907639"
"13909","2015","907640"
"1734","2015","907641"
"1734","2015","907642"
"12641","2015","907706"
"12641","2015","907707"
"15168","2015","907742"
"15168","2015","907743"
"15168","2015","907744"
"9671","2015","907779"
"9671","2015","907780"
"4572","2015","907942"
"4572","2015","907943"
"10158","2015","908028"
"2192","2015","908033"
"2192","2015","908034"
"2192","2015","908035"
"2192","2015","908036"
