"university_id","university_name","state_name","district_name","regional_centre","state_regionale_centre","district_regional_centre","level","programme","discipline_group_category","discipline_group","discipline","course_type","study_year","category","general_total","general_females","sc_total","sc_females","st_total","st_females","obc_total","obc_females","total_persons","total_females"
"0447","Bharathiar University, Coimbatore","Tamil Nadu","Coimbatore","School of Distance Education","Tamil Nadu","Coimbatore","PG Diploma","PG Diploma-Post Graduate Diploma","Foreign Language","English","Communicative English","General","1","Christians","0","0","0","0","0","0","2","1","2","1"
"0447","Bharathiar University, Coimbatore","Tamil Nadu","Coimbatore","School of Distance Education","Tamil Nadu","Coimbatore","Under Graduate","B.Sc.-Bachelor of Science","IT & Computer","Animation","Animation and VFX","General","1","Christians","1","0","0","0","0","0","3","0","4","0"
"0447","Bharathiar University, Coimbatore","Tamil Nadu","Coimbatore","School of Distance Education","Tamil Nadu","Coimbatore","Under Graduate","B.Sc.-Bachelor of Science","IT & Computer","Animation","Animation and VFX","General","2","Christians","1","0","0","0","0","0","3","0","4","0"
"0447","Bharathiar University, Coimbatore","Tamil Nadu","Coimbatore","School of Distance Education","Tamil Nadu","Coimbatore","Under Graduate","B.Ed.-Bachelor of Education","Education","Education","Education","General","1","Christians","1","0","0","0","1","1","22","21","24","22"
"0447","Bharathiar University, Coimbatore","Tamil Nadu","Coimbatore","School of Distance Education","Tamil Nadu","Coimbatore","Under Graduate","B.Ed.-Bachelor of Education","Education","Education","Education","General","2","Christians","2","2","0","0","0","0","3","3","5","5"
"0447","Bharathiar University, Coimbatore","Tamil Nadu","Coimbatore","School of Distance Education","Tamil Nadu","Coimbatore","Post Graduate","M.B.A.- Master of Business Administration","Management","Business Administration","International Business","General","2","Christians","5","1","0","0","0","0","2","1","7","2"
"0447","Bharathiar University, Coimbatore","Tamil Nadu","Coimbatore","School of Distance Education","Tamil Nadu","Coimbatore","Post Graduate","M.B.A.- Master of Business Administration","Management","Business Administration","International Business","General","1","Jains","1","1","0","0","0","0","0","0","1","1"
"0447","Bharathiar University, Coimbatore","Tamil Nadu","Coimbatore","School of Distance Education","Tamil Nadu","Coimbatore","Post Graduate","M.B.A.- Master of Business Administration","Management","Business Administration","International Business","General","1","Christians","15","6","0","0","0","0","1","0","16","6"
"0447","Bharathiar University, Coimbatore","Tamil Nadu","Coimbatore","School of Distance Education","Tamil Nadu","Coimbatore","Diploma","Diploma-Diploma","Management","Other Management","Airline and Airport  Management","General","1","Christians","20","12","0","0","0","0","0","0","20","12"
"0447","Bharathiar University, Coimbatore","Tamil Nadu","Coimbatore","School of Distance Education","Tamil Nadu","Coimbatore","Under Graduate","B.Litt.-Bachelor of Literature","Linguistics","Linguistics","Literature in Tamil","General","1","Christians","1","1","0","0","0","0","3","2","4","3"
"0447","Bharathiar University, Coimbatore","Tamil Nadu","Coimbatore","School of Distance Education","Tamil Nadu","Coimbatore","Under Graduate","B.Litt.-Bachelor of Literature","Linguistics","Linguistics","Literature in Tamil","General","2","Christians","1","1","0","0","0","0","2","2","3","3"
"0447","Bharathiar University, Coimbatore","Tamil Nadu","Coimbatore","School of Distance Education","Tamil Nadu","Coimbatore","Under Graduate","B.Litt.-Bachelor of Literature","Linguistics","Linguistics","Literature in Tamil","General","3","Christians","0","0","0","0","0","0","2","2","2","2"
"0447","Bharathiar University, Coimbatore","Tamil Nadu","Coimbatore","School of Distance Education","Tamil Nadu","Coimbatore","Under Graduate","B.Com.-Bachelor of Commerce","Commerce","Commerce","Commerce","General","2","Christians","27","9","0","0","0","0","2","1","29","10"
"0447","Bharathiar University, Coimbatore","Tamil Nadu","Coimbatore","School of Distance Education","Tamil Nadu","Coimbatore","Under Graduate","B.Com.-Bachelor of Commerce","Commerce","Commerce","Commerce","General","3","Buddhists","1","1","0","0","0","0","0","0","1","1"
"0447","Bharathiar University, Coimbatore","Tamil Nadu","Coimbatore","School of Distance Education","Tamil Nadu","Coimbatore","Under Graduate","B.Com.-Bachelor of Commerce","Commerce","Commerce","Commerce","General","3","Christians","16","7","1","1","0","0","9","6","26","14"
"0447","Bharathiar University, Coimbatore","Tamil Nadu","Coimbatore","School of Distance Education","Tamil Nadu","Coimbatore","Under Graduate","B.Com.-Bachelor of Commerce","Commerce","Commerce","Commerce","General","3","Jains","1","0","0","0","0","0","0","0","1","0"
"0447","Bharathiar University, Coimbatore","Tamil Nadu","Coimbatore","School of Distance Education","Tamil Nadu","Coimbatore","Under Graduate","B.Com.-Bachelor of Commerce","Commerce","Commerce","Commerce","General","1","Jains","1","0","0","0","0","0","0","0","1","0"
"0447","Bharathiar University, Coimbatore","Tamil Nadu","Coimbatore","School of Distance Education","Tamil Nadu","Coimbatore","Under Graduate","B.Com.-Bachelor of Commerce","Commerce","Commerce","Commerce","General","1","Christians","88","26","0","0","1","1","9","7","98","34"
"0447","Bharathiar University, Coimbatore","Tamil Nadu","Coimbatore","School of Distance Education","Tamil Nadu","Coimbatore","Post Graduate","M.C.A. -Master of Computer Applications","IT & Computer","Computer Application","Computer Applications","General","3","Christians","9","3","0","0","0","0","8","5","17","8"
"0447","Bharathiar University, Coimbatore","Tamil Nadu","Coimbatore","School of Distance Education","Tamil Nadu","Coimbatore","Post Graduate","M.C.A. -Master of Computer Applications","IT & Computer","Computer Application","Computer Applications","General","1","Christians","26","12","1","0","0","0","5","2","32","14"
"0447","Bharathiar University, Coimbatore","Tamil Nadu","Coimbatore","School of Distance Education","Tamil Nadu","Coimbatore","Post Graduate","M.C.A. -Master of Computer Applications","IT & Computer","Computer Application","Computer Applications","General","2","Christians","34","10","0","0","0","0","5","5","39","15"
"0447","Bharathiar University, Coimbatore","Tamil Nadu","Coimbatore","School of Distance Education","Tamil Nadu","Coimbatore","Post Graduate","M.B.A.- Master of Business Administration","Management","Business Administration","Technology Management","General","2","Christians","1","0","0","0","0","0","4","0","5","0"
"0447","Bharathiar University, Coimbatore","Tamil Nadu","Coimbatore","School of Distance Education","Tamil Nadu","Coimbatore","Post Graduate","M.B.A.- Master of Business Administration","Management","Business Administration","Technology Management","General","1","Christians","9","2","0","0","0","0","2","0","11","2"
"0447","Bharathiar University, Coimbatore","Tamil Nadu","Coimbatore","School of Distance Education","Tamil Nadu","Coimbatore","Diploma","Diploma-Diploma","Management","Other Management","Hospitality Management","General","1","Christians","0","0","0","0","1","0","0","0","1","0"
"0447","Bharathiar University, Coimbatore","Tamil Nadu","Coimbatore","School of Distance Education","Tamil Nadu","Coimbatore","Post Graduate","M.A.-Master of Arts","Social Science","Economics","Economics","General","2","Christians","2","2","0","0","0","0","0","0","2","2"
"0447","Bharathiar University, Coimbatore","Tamil Nadu","Coimbatore","School of Distance Education","Tamil Nadu","Coimbatore","Post Graduate","M.A.-Master of Arts","Social Science","Economics","Economics","General","1","Jains","1","1","0","0","0","0","0","0","1","1"
"0447","Bharathiar University, Coimbatore","Tamil Nadu","Coimbatore","School of Distance Education","Tamil Nadu","Coimbatore","Post Graduate","M.A.-Master of Arts","Social Science","Economics","Economics","General","1","Christians","6","5","0","0","0","0","0","0","6","5"
"0447","Bharathiar University, Coimbatore","Tamil Nadu","Coimbatore","School of Distance Education","Tamil Nadu","Coimbatore","Post Graduate","M.A.-Master of Arts","Social Science","Other Social Science","Yoga for Human Excellence","General","2","Christians","2","1","0","0","0","0","5","2","7","3"
"0447","Bharathiar University, Coimbatore","Tamil Nadu","Coimbatore","School of Distance Education","Tamil Nadu","Coimbatore","Post Graduate","M.A.-Master of Arts","Social Science","Other Social Science","Yoga for Human Excellence","General","1","Jains","1","1","0","0","0","0","0","0","1","1"
"0447","Bharathiar University, Coimbatore","Tamil Nadu","Coimbatore","School of Distance Education","Tamil Nadu","Coimbatore","Post Graduate","M.A.-Master of Arts","Social Science","Other Social Science","Yoga for Human Excellence","General","1","Christians","3","1","0","0","0","0","7","3","10","4"
"0447","Bharathiar University, Coimbatore","Tamil Nadu","Coimbatore","School of Distance Education","Tamil Nadu","Coimbatore","Post Graduate","M.S.W.-Master of Social Work","Social Work","Social Work","Social Work","General","1","Christians","42","14","0","0","0","0","3","2","45","16"
"0447","Bharathiar University, Coimbatore","Tamil Nadu","Coimbatore","School of Distance Education","Tamil Nadu","Coimbatore","Post Graduate","M.S.W.-Master of Social Work","Social Work","Social Work","Social Work","General","2","Christians","18","6","1","0","0","0","0","0","19","6"
"0447","Bharathiar University, Coimbatore","Tamil Nadu","Coimbatore","School of Distance Education","Tamil Nadu","Coimbatore","Post Graduate","M.B.A.- Master of Business Administration","Management","Business Administration","Services Management","General","1","Buddhists","1","0","0","0","0","0","0","0","1","0"
"0447","Bharathiar University, Coimbatore","Tamil Nadu","Coimbatore","School of Distance Education","Tamil Nadu","Coimbatore","Post Graduate","M.B.A.- Master of Business Administration","Management","Business Administration","Services Management","General","1","Christians","2","0","0","0","0","0","0","0","2","0"
"0447","Bharathiar University, Coimbatore","Tamil Nadu","Coimbatore","School of Distance Education","Tamil Nadu","Coimbatore","Post Graduate","M.B.A.- Master of Business Administration","Management","Business Administration","Services Management","General","2","Christians","1","0","0","0","0","0","0","0","1","0"
"0447","Bharathiar University, Coimbatore","Tamil Nadu","Coimbatore","School of Distance Education","Tamil Nadu","Coimbatore","Under Graduate","B.Sc.-Bachelor of Science","IT & Computer","Computer Science","Computer Science","General","2","Christians","15","7","0","0","0","0","3","2","18","9"
"0447","Bharathiar University, Coimbatore","Tamil Nadu","Coimbatore","School of Distance Education","Tamil Nadu","Coimbatore","Under Graduate","B.Sc.-Bachelor of Science","IT & Computer","Computer Science","Computer Science","General","1","Christians","6","0","0","0","0","0","4","3","10","3"
"0447","Bharathiar University, Coimbatore","Tamil Nadu","Coimbatore","School of Distance Education","Tamil Nadu","Coimbatore","Under Graduate","B.Sc.-Bachelor of Science","IT & Computer","Computer Science","Computer Science","General","3","Christians","6","1","0","0","0","0","2","1","8","2"
"0447","Bharathiar University, Coimbatore","Tamil Nadu","Coimbatore","School of Distance Education","Tamil Nadu","Coimbatore","Post Graduate","M.A.-Master of Arts","Foreign Language","English","English Literature","General","1","Christians","58","40","2","2","0","0","43","38","103","80"
