"id","country_id","programme_id","discipline","total","girls","broad_discipline_group_id","level_id"
"55119","82","111","Yoga","1","0","107","3"
"54494","133","111","Chemistry","2","2","094","3"
"58968","2","030","Animation & Visual Basic","1","0","182","4"
"56436","2","124","History (Evening Studies)","1","0","111","3"
"59312","160","012","Professional  Accounting","3","3","009","4"
"59174","27","012","COMMERCE","29","16","009","4"
"60033","115","006","Social Science","1","1","178","4"
"56091","131","043","General","2","1","133","4"
"50535","206","049","Dental Surgery","2","2","066","4"
"53467","40","039","Law","1","0","052","8"
"54801","103","009","Architecture & Ekistics","1","1","014","4"
"48444","244","076","AME course","10","0","122","7"
"56955","182","006","Psychology,Sociology and Economics","1","1","178","4"
"52743","217","133","ME-IT","1","1","185","3"
"58526","50","027","Pharmacy","4","1","076","4"
"53460","216","124","Human Resource  Planning and Development","3","1","116","3"
"57236","164","129","Medicine","1","0","068","4"
"58392","202","093","Commerce","1","0","009","3"
"61114","160","070","BPT","1","1","164","4"
"54225","246","111","M. Sc. - Petroleum Technology","1","0","107","3"
"54623","160","030","Science","2","2","171","4"
"50935","8","050","CIVIL","0","0","016","4"
"60327","139","006","Arts","1","0","178","4"
"48212","246","050","Computer Engineering","2","0","017","4"
"53240","153","030","B.Sc MRT","1","0","171","4"
"56833","115","111","Psychological Counselling","2","1","113","3"
"57027","134","043","Management","1","0","133","4"
"52054","124","157","Environmental Science","6","0","004","1"
"56192","117","036","Computer Science and Engineering","3","0","017","4"
"60588","160","030","Microbiology (Evening)","2","2","171","4"
"52251","182","036","Under Graduate","1","0","016","4"
"54457","239","124","Social Work","1","1","116","3"
"57175","178","036","Electrical Engineering","1","1","019","4"
"59080","117","017","BACHELOR OF EDUCATION","46","46","012","4"
"53312","216","027","PHARMACY","1","1","076","4"
"55907","244","111","Bio Technology","1","0","146","3"
"53968","27","043","B.B.A. C.A.","4","0","133","4"
"59235","245","046","BCA","1","0","183","4"
"56644","153","050","Computer Science & Engineering","4","0","017","4"
"53014","102","151","Computer Science","1","0","095","3"
"47716","207","030","Science","1","0","171","4"
"54713","153","043","0","1","0","133","4"
"54202","153","155","Post Basic B. Sc. Nursing","2","2","072","5"
"50534","196","049","Dental Surgery","1","1","066","4"
"53017","153","012","Bachelor of Commerce","1","0","009","4"
"59244","216","036","Mechanical Enggineering","1","0","023","4"
"60234","206","012","Honours","1","1","009","4"
"48503","2","050","Civil Engineering","2","0","016","4"
"52046","124","157","Financial Management","3","1","056","1"
"61099","131","036","COE, ECE, IT, EE, ME, CIVIL, BIOTECH, MECHATRONICS & CSE","1","1","026","4"
"55126","46","111","Yoga","4","4","101","3"
"58494","244","050","Civil Engineering","1","0","016","4"
"50225","206","009","General","1","1","014","4"
"61558","216","126","MBA","3","2","133","3"
"47136","207","044","Management","1","0","055","4"
"50395","70","030","COMPUTER SCIENCE","3","3","095","4"
"54947","61","046","Computer Application","1","0","183","4"
"54974","102","012","Commerce","1","0","009","4"
"57740","203","126","Business Management","1","0","133","3"
"55219","150","131","Hosp Adm","1","0","078","3"
"59355","232","043","International Business","1","0","133","4"
"61614","232","184","antomy, community health nursing, fundamental of nursing, peadtric nursing, mental health nursing, gynacology etc","1","0","072","6"
"48793","27","050","Civil Engineering","3","0","016","4"
"57948","153","126","MBA","3","1","133","3"
"57937","232","036","Bachelor of Technology","4","1","026","4"
"58026","182","157","MBA","3","1","133","1"
"54570","124","130","Computer Application","2","0","183","3"
"51918","203","046","Computer Applications","1","0","183","4"
"58704","153","036","Mechanical","11","0","023","4"
"48714","244","046","Science","56","0","183","4"
"51209","40","042","Allied Health","1","1","074","4"
"48211","246","050","Electronics and Communication","1","0","020","4"
"56671","34","050","Mechanical Engineering","1","0","023","4"
"57648","37","089","LL.M.","2","1","052","3"
"53403","245","082","Aeronautical Engineering","1","0","122","6"
