"university_id","survey_year","teaching_staff_sanctioned_strength_id"
"0778","2015","533481"
"0778","2015","533482"
"0165","2015","533514"
"0165","2015","533515"
"0165","2015","533516"
"0165","2015","533517"
"0165","2015","533518"
"0165","2015","533519"
"0165","2015","533520"
"0649","2015","534265"
"0649","2015","534266"
"0649","2015","534267"
"0649","2015","534268"
"0649","2015","534269"
"0649","2015","534270"
"0649","2015","534271"
"0131","2015","535829"
"0131","2015","535830"
"0131","2015","535831"
"0131","2015","535832"
"0131","2015","535833"
"0131","2015","535834"
"0131","2015","535835"
"0152","2015","536127"
"0152","2015","536128"
"0152","2015","536129"
"0152","2015","536130"
"0152","2015","536131"
"0152","2015","536132"
"0152","2015","536133"
"0152","2015","536134"
"0126","2015","536781"
"0126","2015","536782"
"0126","2015","536783"
"0126","2015","536784"
"0126","2015","536785"
"0126","2015","536786"
"0142","2015","537442"
"0142","2015","537443"
"0142","2015","537444"
"0142","2015","537445"
"0142","2015","537446"
"0635","2015","538445"
"0635","2015","538446"
"0635","2015","538447"
"0635","2015","538448"
"0635","2015","538449"
"0635","2015","538450"
"0734","2015","538849"
"0734","2015","538850"
"0734","2015","538851"
"0734","2015","538852"
"0734","2015","538853"
"0734","2015","538854"
"0734","2015","538855"
"0734","2015","538856"
"0734","2015","538857"
"0368","2015","539066"
"0368","2015","539067"
"0368","2015","539068"
"0368","2015","539069"
"0368","2015","539070"
"0368","2015","539071"
"0240","2015","539104"
"0240","2015","539105"
"0240","2015","539106"
"0240","2015","539107"
"0240","2015","539108"
"0128","2015","539182"
"0128","2015","539183"
"0658","2015","539583"
"0658","2015","539584"
"0658","2015","539585"
"0658","2015","539586"
"0658","2015","539587"
"0658","2015","539588"
"0125","2015","540623"
"0125","2015","540624"
"0125","2015","540625"
"0125","2015","540626"
"0125","2015","540627"
"0125","2015","540628"
"0125","2015","540629"
"0578","2015","540924"
"0578","2015","540925"
"0578","2015","540926"
"0578","2015","540927"
"0578","2015","540928"
"0578","2015","540929"
"0578","2015","540930"
"0593","2015","541267"
"0593","2015","541268"
"0593","2015","541269"
"0593","2015","541270"
"0593","2015","541271"
"0593","2015","541272"
"0127","2015","541475"
"0127","2015","541476"
"0127","2015","541477"
"0127","2015","541478"
"0127","2015","541479"
"0127","2015","541480"
"0594","2015","542517"
"0594","2015","542518"
"0594","2015","542519"
"0594","2015","542520"
"0591","2015","543513"
"0591","2015","543514"
"0591","2015","543515"
"0591","2015","543516"
"0591","2015","543517"
"0591","2015","543518"
"0591","2015","543519"
"0788","2015","543941"
"0788","2015","543942"
"0788","2015","543943"
"0123","2015","544368"
"0123","2015","544369"
"0123","2015","544370"
"0123","2015","544371"
"0123","2015","544372"
"0625","2015","544439"
"0625","2015","544440"
"0625","2015","544441"
"0232","2015","546445"
"0232","2015","546446"
"0232","2015","546447"
"0232","2015","546448"
"0782","2015","549348"
"0782","2015","549349"
"0783","2015","549514"
"0783","2015","549515"
"0494","2015","551244"
"0494","2015","551245"
"0494","2015","551246"
"0494","2015","551247"
"0494","2015","551248"
"0378","2015","551556"
"0378","2015","551557"
"0378","2015","551558"
"0378","2015","551559"
"0378","2015","551560"
"0057","2015","551817"
"0057","2015","551818"
"0057","2015","551819"
"0057","2015","551820"
"0057","2015","551821"
"0057","2015","551822"
"0354","2015","552114"
"0354","2015","552115"
"0354","2015","552116"
"0354","2015","552117"
"0354","2015","552118"
"0354","2015","552119"
"0218","2015","552886"
"0218","2015","552887"
"0218","2015","552888"
"0218","2015","552889"
"0218","2015","552890"
"0218","2015","552891"
"0250","2015","554460"
"0250","2015","554461"
"0250","2015","554462"
"0250","2015","554463"
"0670","2015","554567"
