"college_institution_id","department_id","survey_year"
"13816","997133","2015"
"13816","997134","2015"
"13816","997135","2015"
"13816","997136","2015"
"13816","997137","2015"
"13816","997138","2015"
"13816","997139","2015"
"13816","997140","2015"
"13816","997141","2015"
"13816","997142","2015"
"13816","997143","2015"
"49312","997144","2015"
"44436","996239","2015"
"44436","996240","2015"
"44436","996241","2015"
"44436","996242","2015"
"44436","996243","2015"
"45160","996245","2015"
"45160","996246","2015"
"45160","996247","2015"
"53479","996248","2015"
"53479","996249","2015"
"53479","996250","2015"
"53479","996251","2015"
"53479","996252","2015"
"53479","996253","2015"
"53479","996254","2015"
"53479","996255","2015"
"53479","996256","2015"
"13433","996267","2015"
"13433","996268","2015"
"13433","996269","2015"
"10640","996271","2015"
"54355","996272","2015"
"15372","997020","2015"
"15372","997021","2015"
"15372","997022","2015"
"15372","997023","2015"
"15372","997024","2015"
"15372","997025","2015"
"15372","997026","2015"
"15372","997027","2015"
"15372","997028","2015"
"15372","997029","2015"
"15372","997030","2015"
"15372","997031","2015"
"15372","997032","2015"
"54842","997034","2015"
"54842","997035","2015"
"54842","997036","2015"
"18689","997074","2015"
"18689","997075","2015"
"36285","997117","2015"
"55121","997145","2015"
"55121","997146","2015"
"55121","997147","2015"
"55121","997148","2015"
"55121","997149","2015"
"55121","997150","2015"
"55121","997151","2015"
"55121","997152","2015"
"781","745314","2015"
"575","745326","2015"
"575","745327","2015"
"575","745328","2015"
"54821","996273","2015"
"575","745330","2015"
"575","745331","2015"
"575","745332","2015"
"49682","745343","2015"
"47930","745361","2015"
"47930","745362","2015"
"47930","745363","2015"
"47930","745364","2015"
"47930","745365","2015"
"47930","745366","2015"
"48412","745389","2015"
"7154","745390","2015"
"6787","745430","2015"
"47324","745431","2015"
"47324","745432","2015"
"47324","745433","2015"
"47324","745434","2015"
"47324","745435","2015"
"47324","745436","2015"
"47821","745439","2015"
"49670","745440","2015"
"49670","745441","2015"
"49670","745442","2015"
"50328","745443","2015"
"50328","745444","2015"
"50328","745445","2015"
"9983","745446","2015"
"7130","745447","2015"
"7130","745448","2015"
"7130","745449","2015"
"7130","745450","2015"
"7130","745451","2015"
"7130","745452","2015"
"7130","745453","2015"
"7130","745454","2015"
"539","745455","2015"
"539","745456","2015"
"539","745457","2015"
"539","745458","2015"
"539","745459","2015"
"539","745460","2015"
"539","745461","2015"
"539","745462","2015"
"539","745463","2015"
"5868","745467","2015"
"5868","745468","2015"
"5868","745469","2015"
"5868","745470","2015"
"5868","745471","2015"
"5868","745472","2015"
"5868","745473","2015"
"5868","745474","2015"
"5868","745475","2015"
"5868","745476","2015"
"5868","745477","2015"
"5868","745478","2015"
"5868","745479","2015"
"5868","745480","2015"
"914","745482","2015"
"7188","745519","2015"
"7188","745520","2015"
"7188","745521","2015"
"7188","745522","2015"
"7188","745523","2015"
"7188","745524","2015"
"7188","745525","2015"
"7188","745526","2015"
"306","745532","2015"
"47822","745533","2015"
"6695","745534","2015"
"6695","745535","2015"
"6695","745536","2015"
"6695","745537","2015"
"6695","745538","2015"
"6695","745539","2015"
