"id","name","statecode","survey_year","is_dcf_applicable","type_id","district_code"
"0334","Visvesvaraya National Institute of Technology, Nagpur","27","2015","true","07","505"
"0335","Yashwant Rao Chavan Maharashtra Open University","27","2015","true","10","516"
"0336","Central Agricultural University, Imphal","14","2015","true","01","277"
"0337","Manipur University, Imphal","14","2015","true","01","277"
"0340","Martin Luther Christian University, Shillong","17","2015","true","03","298"
"0341","North Eastern Hill University, Shillong","17","2015","true","01","298"
"0345","Mizoram University, Aizwal","15","2015","true","01","283"
"0349","The Institute of Chartered Financial Analysts of India University, Dimapur","13","2015","true","03","265"
"0352","Central University of Orissa, Koraput","21","2015","true","01","398"
"0355","Indian Institute of Technology, Bhubaneshwar","21","2015","true","07","386"
"0356","Kalinga Institute of Industrial Technology, Bhubaneswar","21","2015","true","06","386"
"0357","National Institute of Technology, Rourkela","21","2015","true","07","374"
"0358","National Law University, Cuttuck","21","2015","true","02","381"
"0368","Jawaharlal Institute of Post Graduate Medical Education & Research, Puducherry","34","2015","true","07","635"
"0369","Pondicherry Univeristy, Puducherry","34","2015","true","01","635"
"0370","Sri Balajai Vidyapeeth Mahatma Gandhi Medical College, Puducherry","34","2015","true","06","635"
"0372","Central University of Punjab, Bathhinda","03","2015","true","01","046"
"0363","Siksha 'O' Anusandhan University","21","2015","true","06","386"
"0377","Indian Institute of Science Education & Research (IISER), Mohali","03","2015","true","07","052"
"0378","Indian Institute of Technology, Ropar","03","2015","true","07","051"
"0380","National Institute of Pharmaceutical, Educational and Research, Mohali","03","2015","true","07","052"
"0333","Tilak Maharashtra Vidyapeeth, Pune","27","2015","true","06","521"
"0323","Savitribai Phule Pune University","27","2015","true","02","521"
"0416","Pacific Academy of Higher Education Research University, Udaipur","08","2015","true","03","130"
"0425","Singhania University, Jhunjhunu","08","2015","true","03","103"
"0290","Indira Gandhi National Tribal University, Amarkantak","23","2015","true","01","461"
"0314","Mahatama Gandhi Antarrashtriya Hindi Vishwavidyalaya, Wardha","27","2015","true","01","504"
"0316","Marathwada Agricultural University, Parbhani","27","2015","true","02","513"
"0318","Mumbai University Mumbai","27","2015","true","02","519"
"0320","North Maharashtra University, Jalgaon","27","2015","true","02","499"
"0324","Sant Gadge Baba Amravati University, Amravati","27","2015","true","02","503"
"0325","Shivaji University, Kolhapur","27","2015","true","02","530"
"0326","Smt. Nathibai Damodar Thackersey Women's Univeristy, Mumbai","27","2015","true","02","519"
"0327","Solapur University, Solapur","27","2015","true","02","526"
"0328","Swami Ramanand Teerth Marathwada University, Nanded","27","2015","true","02","511"
"0346","Institute of Chartered Financial Analysts of India University, Aizawl","15","2015","true","03","283"
"0347","Nagaland University","13","2015","true","01","263"
"0350","Berhampur University, Berhampur","21","2015","true","02","388"
"0351","Biju Patnaik University of Technology, Rourkela","21","2015","true","02","374"
"0353","Centurion University of Technology and Management","21","2015","true","03","389"
"0354","Fakir Mohan University, Balasore","21","2015","true","02","377"
"0361","Ravenshaw University, Cuttak","21","2015","true","02","381"
"0362","Sambalpur University, Sambalpur","21","2015","true","02","372"
"0364","Shri Jagannath Sanskrit Vishwavidyalaya, Puri","21","2015","true","02","387"
"0365","Utkal University of Culture, Bhubaneswar","21","2015","true","02","386"
"0366","Utkal University, Bhubaneswar","21","2015","true","02","386"
"0371","Baba Farid University of Health & Medical Sciences, Faridkot","03","2015","true","02","045"
"0373","Chitkara University, Patiala","03","2015","true","03","048"
"0374","Dr. B. R. Ambedkar National Institute of Technology, Jalandhar","03","2015","true","07","037"
"0375","Guru Angad Dev Veterinary & Animal Sciences University, Ludhiana","03","2015","true","02","041"
"0376","Guru Nanak Dev University, Amritsar","03","2015","true","02","049"
"0379","Lovely Professional University, Jullunder","03","2015","true","03","036"
"0381","Punjab Agricultural University, Ludhiana","03","2015","true","02","041"
"0383","Punjabi University, Patiala","03","2015","true","02","048"
"0384","Sant Longowal Institute of Engg. & Tech., Longowal","03","2015","true","04","053"
"0385","Thapar Institute of Engineering and Technology, Patiala","03","2015","true","06","048"
"0386","The Rajiv Gandhi National  University of Law, Patiala","03","2015","true","02","048"
"0387","Kota University, Kota","08","2015","true","02","127"
"0388","Amity University, Jaipur,","08","2015","true","03","110"
"0390","Bhagwant University,  Ajmer","08","2015","true","03","119"
"0392","Central University of Rajasthan, Jaipur","08","2015","true","01","119"
"0393","Dr K N Modi University, Tonk","08","2015","true","03","120"
"0394","I.I.S. University, Jaipur","08","2015","true","06","110"
"0698","MADHAV UNIVERSITY","08","2015","true","03","117"
"0395","Indian Institute of Technology, Jodhpur","08","2015","true","07","113"
"0396","Institute of Advanced Studies in Education, Churu","08","2015","true","06","102"
"0398","Jagannath University, Jaipur","08","2015","true","03","110"
"0399","Jai Narain Vyas University, Jodhpur","08","2015","true","02","113"
"0402","Janardan Rai Nagar Rajasthan Vidyapeeth,  Udaipur","08","2015","true","06","123"
"0403","Jodhpur National University, Jodhpur","08","2015","true","03","113"
"0404","Jyoti Vidyapeeth Women's University, Jaipur","08","2015","true","03","110"
"0405","LNM Institute of Information Technology, Jaipur","08","2015","true","06","110"
"0406","Maharaja Ganga Singh University, Bikaner","08","2015","true","02","101"
"0407","Maharana Pratap University of Agriculture & Technology, Udaipur","08","2015","true","02","130"
"0408","Maharishi Dayanand Saraswati University, Ajmer","08","2015","true","02","119"
"0409","Mahatma Jyoti Rao Phoole University, Jaipur","08","2015","true","03","110"
"0411","Mewar University, Chittorgarh","08","2015","true","03","126"
"0412","Mody Institute of Technology & Science, Sikar","08","2015","true","06","111"
"0413","Mohan Lal Sukhadia University, Uaipur","08","2015","true","02","130"
"0414","National Law University, Jodhpur","08","2015","true","02","113"
"0415","NIMS University, Jaipur","08","2015","true","03","110"
"0417","Rajasthan Agricultural University, Bikaner","08","2015","true","02","101"
"0756","UNIVERSITY OF ENGINEERING AND MANAGEMENT","08","2015","true","03","110"
"0419","Rajasthan Technical University, Kota","08","2015","true","02","127"
"0420","Rajasthan University of Health Sciences, Jaipur","08","2015","true","02","110"
"0421","Rajasthan University of Veterinary and Animal Sciences, Bikaner","08","2015","true","02","101"
"0422","Rajasthan University, Jaipur","08","2015","true","02","110"
"0424","Shridhar University,  Pilani","08","2015","true","03","103"
"0427","Suresh Gyan Vihar Univeristy, Jaipur","08","2015","true","03","110"
"0428","Vardhman Mahaveer Open University, Kota","08","2015","true","10","127"
"0429","Eastern Institute for Integrated Learning in Management University, Jorethang","11","2015","true","03","243"
"0430","Sikkim  University, Gangtok","11","2015","true","01","244"
"0432","The Institute of Chartered Financial Analysts of India University, Sikkim","11","2015","true","03","244"
"0433","Vinayaka Missions Sikkim University, Tadong","11","2015","true","03","244"
"0434","Academy of Maritime Education and Training, Chennai","33","2015","true","06","604"
"0435","Alagappa University, Alagappa Nagar, Karaikudi","33","2015","true","02","622"
"0436","Amrita Vishwa Vidyapeetham, Coimbatore","33","2015","true","06","632"
"0439","Anna University, Chennai","33","2015","true","02","603"
"0443","Annamalai University, Annamalainagar","33","2015","true","02","617"
"0617","National Institute of Technology Mizoram","15","2015","true","07","283"
"0594","Children University, Gandhinagar","24","2015","true","02","473"
"0660","GURU RAVIDAS AYURVED UNIVERSITY","03","2015","true","02","038"
"0672","ASSAM RAJIV GANDHI UNIVERSITY OF COOPERATIVE MANAGEMENT","18","2015","true","02","311"
"0674","BODOLAND UNIVERSITY","18","2015","true","02","300"
"0675","COTTON COLLEGE STATE UNIVERSITY","18","2015","true","02","322"
"0676","KUMAR BHASKAR VARMA SANSKRIT AND ANCIENT STUDIES UNIVERSITY","18","2015","true","02","323"
"0680","TAMIL NADU NATIONAL LAW SCHOOL","33","2015","true","02","614"
"0681","UTTARAKHAND AYURVED UNIVERSITY","05","2015","true","02","060"
"0684","DESH BHAGAT UNIVERSITY","03","2015","true","03","040"
"0078","Panjab University,Chandigarh","04","2015","true","02","055"
"0079","Post Graduate Institute of Medical Sciences","04","2015","true","07","055"
"0080","PEC University of Technology, Chandigarh","04","2015","true","04","055"
"0111","National Law University, Delhi","07","2015","true","02","097"
"0114","National University of Education, Planning & Administration, New Delhi","07","2015","true","04","098"
"0146","Nirma University, Ahmedabad","24","2015","true","03","474"
"0236","National Institute of Mental Health & Neuro Sciences, Bangalore","29","2015","true","04","572"
"0259","Kerala University of Fisheries & Ocean Studies, Kochi","32","2015","true","02","595"
"0283","Makhanlal Chaturvedi National University of Journalism and Communication, Bhopal","23","2015","true","02","444"
"0311","Krishna Institute of Medical Sciences Deemed University, Karad","27","2015","true","06","527"
"0359","North Orissa University, Mayurbhanj","21","2015","true","02","376"
"0389","Banasthali Vidyapith","08","2015","true","06","120"
"0426","Sir Padampat Singhania University, Udaipur","08","2015","true","03","130"
"0444","Avinashilingam Institute for Home Science & Higher Education for Women, Coimbatore","33","2015","true","05","632"
"0445","B.S. Abdur Rahman Institute of Science & Technology","33","2015","true","06","604"
"0447","Bharathiar University, Coimbatore","33","2015","true","02","632"
"0464","Manonmaniam Sundaranar University, Tirunelveli","33","2015","true","02","628"
"0489","Vel Tech Rangarajan Dr. Sagunthala R & D Institute of Science & Technology, Chennai","33","2015","true","06","602"
"0512","UTTAR PRADESH VIKLANG UDDHAR DR SHAKUNTALA MISRA UNIVERSITY","09","2015","true","02","157"
"0523","KING GEORGE MEDICAL UNIVERSITY","09","2015","true","02","157"
"0555","Graphic Era University, Dehradun","05","2015","true","06","060"
"0571","University of Gour Banga, Malda","19","2015","true","02","332"
"0578","Netaji Subhash Open University, Kolkata","19","2015","true","10","342"
"0583","Sidho-Kanho Birsa University","19","2015","true","02","340"
"0585","The West Bengal National University of Juridicial Sciences, Kolkata","19","2015","true","02","342"
"0586","The West Bengal University of Health Sciences, Kolkata","19","2015","true","02","337"
"0587","Uttar Banga Krishi Vishwavidyalaya, Cooch Behar","19","2015","true","02","329"
"0588","Vidya Sagar University, Midnapore","19","2015","true","02","344"
"0589","Visva Bharati, Shantiniketan","19","2015","true","01","334"
"0591","West Bengal University of Animal and Fishery Sciences, Kolkata","19","2015","true","02","342"
"0593","Gujarat Forensic Sciences University","24","2015","true","02","473"
"0595","Rakshashakti University, Gujarat","24","2015","true","02","474"
"0597","Bahra University, Solan","02","2015","true","03","031"
"0598","Himachal Pradesh Technical University, Hamirpur","02","2015","true","02","028"
"0599","Sri Sai University, Palampur","02","2015","true","03","024"
"0603","Vijayanagara Sri Krishnadevaraya University, Bellary","29","2015","true","02","565"
"0604","Amity University, Gwalior","23","2015","true","03","421"
"0605","University of Technology & Management, Shillong","17","2015","true","03","298"
"0606","Sri Guru Granth Sahib World University, Fatehgarh Sahib","03","2015","true","03","040"
"0607","Homoeopathy University, Jaipur","08","2015","true","03","110"
"0611","Sri Venkateshwara University, Gajraula, J.P Nagar","09","2015","true","03","137"
"0613","National Institute of Technology Manipur","14","2015","true","07","277"
"0614","National Institute of Technology Sikkim","11","2015","true","07","243"
"0615","National Institute of Technology Arunachal Pradesh","12","2015","true","07","248"
"0618","National Institute of Technology Nagaland","13","2015","true","07","265"
"0619","National Institute of Technology Meghalaya","17","2015","true","07","298"
"0620","National Institute of Technology Goa","30","2015","true","07","585"
"0621","National Institute of Technology Puducherry","34","2015","true","07","637"
"0622","National Institute of Technology Delhi","07","2015","true","07","096"
"0623","Uttarakhand Open University","05","2015","true","10","066"
"0624","Karnataka State Dr. Gangubai Hangal Music And Performing Arts University","29","2015","true","02","577"
"0625","Karnataka Sanskrit University","29","2015","true","02","572"
"0628","William Carey University, Shillong","17","2015","true","03","298"
