"university_id","survey_year","teaching_staff_id"
"0505","2015","901390"
"0505","2015","901391"
"0505","2015","901392"
"0505","2015","901393"
"0505","2015","901394"
"0505","2015","901395"
"0505","2015","901396"
"0505","2015","901397"
"0505","2015","901398"
"0505","2015","901399"
"0505","2015","901400"
"0505","2015","901401"
"0505","2015","901402"
"0505","2015","901403"
"0365","2015","902276"
"0365","2015","902277"
"0365","2015","902278"
"0365","2015","902279"
"0365","2015","902280"
"0365","2015","902281"
"0365","2015","902282"
"0365","2015","902283"
"0365","2015","902284"
"0365","2015","902285"
"0365","2015","902286"
"0365","2015","902287"
"0365","2015","902288"
"0365","2015","902289"
"0365","2015","902290"
"0365","2015","902291"
"0365","2015","902292"
"0365","2015","902293"
"0365","2015","902294"
"0365","2015","902295"
"0365","2015","902296"
"0365","2015","902297"
"0365","2015","902298"
"0365","2015","902299"
"0365","2015","902300"
"0365","2015","902301"
"0365","2015","902302"
"0365","2015","902303"
"0365","2015","902304"
"0365","2015","902305"
"0365","2015","902306"
"0365","2015","902307"
"0365","2015","902308"
"0365","2015","902309"
"0365","2015","902310"
"0365","2015","902311"
"0268","2015","903379"
"0268","2015","903380"
"0268","2015","903381"
"0268","2015","903382"
"0268","2015","903383"
"0268","2015","903384"
"0268","2015","903385"
"0268","2015","903386"
"0268","2015","903387"
"0268","2015","903388"
"0268","2015","903389"
"0268","2015","903390"
"0268","2015","903391"
"0268","2015","903392"
"0268","2015","903393"
"0268","2015","903394"
"0268","2015","903395"
"0268","2015","903396"
"0268","2015","903397"
"0268","2015","903398"
"0268","2015","903399"
"0173","2015","908298"
"0173","2015","908299"
"0173","2015","908300"
"0173","2015","908301"
"0173","2015","908302"
"0173","2015","908303"
"0103","2015","909114"
"0103","2015","909115"
"0122","2015","909439"
"0580","2015","909985"
"0580","2015","909986"
"0580","2015","909987"
"0580","2015","909988"
"0580","2015","909989"
"0580","2015","909990"
"0580","2015","909991"
"0580","2015","909992"
"0580","2015","909993"
"0580","2015","909994"
"0580","2015","909995"
"0580","2015","909996"
"0580","2015","909997"
"0580","2015","909998"
"0580","2015","909999"
"0580","2015","910000"
"0580","2015","910001"
"0580","2015","910002"
"0145","2015","911124"
"0464","2015","911529"
"0464","2015","911530"
"0464","2015","911531"
"0464","2015","911532"
"0464","2015","911533"
"0464","2015","911534"
