"id","name","university_id","district_code","state_code","type_id","survey_year","is_dcf_applicable"
"939","SMT. V.B. NANDOLA COMPUTER SCIENCE COLLEGE, BHACHA","0783","479","24","1","2015","true"
"1053","SOMNATH ARTS  & PHYS. EDUCATION COLLEGE-KODINAR","0783","479","24","1","2015","true"
"5837","Kabir Vikas Mandal Dasa Sanchalit Arts College","0782","485","24","1","2015","true"
"55565","DHARM RAJESHWAR MAHAVIDYALAY BELA","0268","429","23","1","2015","true"
"5843","Kapadia N. M. M. S. Arts & The S. N. S. B. Commerce College","0782","486","24","1","2015","true"
"5876","K. R. Desai Arts & Commerce College","0782","485","24","1","2015","true"
"6060","Law College","0782","484","24","1","2015","true"
"5836","Limkehda Arts College","0782","485","24","1","2015","true"
"5850","Mahila Mahavidyalaya","0782","486","24","1","2015","true"
"5887","M. M. Gandhi Arts & Commerce College","0782","484","24","1","2015","true"
"53678","NICE COMPUTER EDUCATION","0283","440","23","3","2015","true"
"889","ARTS & COMMERCE COLLEGE, BARAVALA","0783","479","24","1","2015","true"
"824","ARTS, COMMERCE COMPUTER SCIENCE COLLEGE-MANAVADAR","0783","479","24","1","2015","true"
"5890","M. & V. Arts and Commerce College","0782","484","24","1","2015","true"
"14058","THE FUTURE COMPUTER SCIENCE COLLEGE - JUNAGADH","0783","479","24","1","2015","true"
"55566","ADITYA PHARMACY COLLEGE","0298","523","27","1","2015","true"
"6001","Nalanda B. Ed. College","0782","483","24","1","2015","true"
"5865","Navjivan Arts and Commerce College","0782","485","24","1","2015","true"
"5923","Navjivan Science College","0782","485","24","1","2015","true"
"6112","Parul Arogya Seva Mandal Physiotherapy College","0782","486","24","1","2015","true"
"6052","Parul Institute of Business Administration","0782","486","24","1","2015","true"
"6057","Pioneer  Physiotherapy College","0782","486","24","1","2015","true"
"45238","LATE SHRI VISHNU WAMAN THAKUR CHARITABLE TRUSTS BHASKAR WAMAN THAKUR COLLEGE OF SCIENCE YASHVANT KESHAV PATIL COLLEGE OF COMMERCE VIDYA DAYANAND PATIL COLLEGE OF ARTS, THANE","0318","517","27","1","2015","true"
"36890","Shrimati Narbada Devi Bihani Government Post Graduate College, Nohar","0406","100","08","1","2015","true"
"6038","Sanskar Bharti B. Ed. College","0782","486","24","1","2015","true"
"33772","The Secretary Mahatma Education Society Chembur Naka  Mumbai  400 071","0318","519","27","1","2015","true"
"5988","Sardar Patel B. Ed. College","0782","484","24","1","2015","true"
"5983","Sarvodaya College of Education","0782","484","24","1","2015","true"
"53811","SCI COMPUTER","0283","427","23","3","2015","true"
"5801","S. C. A. Patel Arts College","0782","486","24","1","2015","true"
"55131","SAJI V T","0630","589","32","1","2015","true"
"53892","GIT COMPUTERS","0283","452","23","3","2015","true"
"53952","G K COMPUTERS","0283","457","23","3","2015","true"
"54772","IIPS INFOTECH","0283","445","23","3","2015","true"
"53857","IPS ACADEMY","0283","456","23","3","2015","true"
"34126","Pal Shikshan Sanstha 3/3 Sai Nagar Khadegolavali Kalyan (East) Thane  421 306","0318","517","27","1","2015","true"
"53642","IPS Institute","0283","455","23","3","2015","true"
"45188","M L DAHANUKAR COLLEGE OF COMMERCE, MUMBAI","0318","519","27","1","2015","true"
"6017","Sheth M. N. C. College of Education","0782","486","24","1","2015","true"
"54091","KHARE ACADEMY","0283","444","23","3","2015","true"
"31353","NEPS NEEMUCH","0283","432","23","3","2015","true"
"53926","OM COMPUTER ","0283","457","23","3","2015","true"
"45229","MAHARASHTRA EDUCATION SOCIETYS COLLEGE OF EDUCATION, THANE","0318","517","27","1","2015","true"
"5852","Sheth P. T. Arts & Science College","0782","484","24","1","2015","true"
"5877","Sheth T. C. Kapadia Arts & Commerce College","0782","486","24","1","2015","true"
"54117","RITS","0283","449","23","3","2015","true"
"54090","SET EDUCATION","0283","444","23","3","2015","true"
"53643","Silver Lining","0283","455","23","3","2015","true"
"45189","MAHATMA EDUCATION SOCIETYâS PILLAI COLLEGE OF EDUCATION AND RESEARCH, MUMBAI","0318","519","27","1","2015","true"
"55369","ASHOKA D S ","0276","419","23","1","2015","true"
"55390","ASHA ACADEMY","0717","068","05","1","2015","true"
"55358","SIIT CHANDERI","0283","459","23","3","2015","true"
"55527","SYON COLLEGE","0078","641","03","1","2015","true"
"55551","AJK College ","0206","357","20","1","2015","true"
"5864","Shree B. K. Patel Arts and Smt. L. M. Patel Commerce College","0782","486","24","1","2015","true"
"5859","Shree J. L. K. Kotecha Arts & S. H. Gardi Commerce College","0782","484","24","1","2015","true"
"5873","Shri Janki Vallabh Arts And Shri M. S. Patel Commerce College","0782","486","24","1","2015","true"
"5806","Shri. M. C. Rathva Arts College","0782","486","24","1","2015","true"
"5815","Shri Muktajivan Swamibapa Kelvani Mandal Sanchalit Arts College","0782","484","24","1","2015","true"
"33519","Haji Karim Mohammed Suleman Charitable Trust CUMMOO JAFFER SULEMAN COLLEGE OF ARTS AND COMMERCE FOR WOMEN  At Kambekar Street  Mumbai 400 003","0318","519","27","1","2015","true"
"33737","LATE SHRI VISHNU WAMAN THAKUR CHARITABLE TRUST ARCHITECHTUR Thakur Niwas, Raja Chhatrapati Shivaji Marg Virar (W) Dist.Thane 401 303","0318","517","27","1","2015","true"
"5956","Shri Natvarsinhji Arts & Science & Shri S. G. Patel Commerce College","0782","486","24","1","2015","true"
"5831","Shri N. K. Mehta & Smt. M. F. Dani Arts College","0782","484","24","1","2015","true"
"5917","Shri P. N. Pandya Arts, Shri M. P. Pandya Science & D. P. Pandya Commerce College","0782","484","24","1","2015","true"
"5976","Shri Sarvajanik College of Education","0782","484","24","1","2015","true"
"5929","Shri Sarvajanik Commerce College","0782","484","24","1","2015","true"
"5805","Shri S. P. Patel Arts College","0782","484","24","1","2015","true"
"5804","Shri S. R. Bhabhor Arts College","0782","485","24","1","2015","true"
"5792","Shri Tejendraprasadji Swaminarayan Arts College","0782","484","24","1","2015","true"
"6065","Sigma Institute of Physiotherapy","0782","486","24","1","2015","true"
"5854","SKUB Arts & Smt N. C. Zaveri Commerce College","0782","486","24","1","2015","true"
"5817","Smt. C. R. Gardi Arts College","0782","484","24","1","2015","true"
"5848","Smt. H. C. Patel (Kandari) Arts and Commerce College","0782","486","24","1","2015","true"
"6015","Smt. K. C. M. Shah B. Ed. College","0782","484","24","1","2015","true"
"6062","Smt. M. K. Sanghvi Homeopathic Medical College","0782","486","24","1","2015","true"
"5966","Vanvasi Sewa Samaj B. Ed. College","0782","486","24","1","2015","true"
"6035","Virpur Mahila Utkarsh B. Ed. College for Girls","0782","483","24","1","2015","true"
"5884","Y. S. Arts & K. S. S. Commerce College","0782","485","24","1","2015","true"
"5972","Shri Ram Charitable Trust B. Ed. College","0782","483","24","1","2015","true"
"55567","Damodar Valley Teachers Training College,Dhanbad","0212","354","20","1","2015","true"
"55568","SARASWATI DEVI MAHILA MAHA VIDYALAYA, TIKULHIYA, MAHARAJGANJ","0508","187","09","1","2015","true"
"55569","MAHABODHI TEACHERS TRAINING COLLEGE","0069","236","10","1","2015","true"
"55570","S.B.N DEGREE COLLEGE","0717","068","05","1","2015","true"
"55571","KANYA JAGRITI MAHAVIDYALAYA UMAHI KALAN, SAHARANPUR","0506","132","09","1","2015","true"
"55572","JOY KARTHIK DEGREE COLLEGE","0006","544","28","1","2015","true"
