"id","non_teaching_staff","teaching_staff","total"
"42602","1","1","2"
"51575","49","99","148"
"51168","1","0","1"
"55384","12","18","30"
"55031","15","10","25"
"53988","4","4","8"
"50687","6","5","11"
"42998","2","1","3"
"46816","6","6","12"
"42448","30","24","54"
"49197","17","26","43"
"50190","2","6","8"
"51159","80","70","150"
"52394","2","2","4"
"46744","16","10","26"
"49203","2","9","11"
"48946","26","26","52"
"55279","8","50","58"
"48301","12","4","16"
"50424","2","2","4"
"53978","2","2","4"
"52150","7","14","21"
"49387","3","6","9"
"45267","9","20","29"
"43683","13","28","41"
"49744","2","1","3"
"43323","0","1","1"
"51276","8","6","14"
"52920","50","16","66"
"54114","5","4","9"
"55151","3","4","7"
"55879","7","4","11"
"52937","6","8","14"
"55886","0","647","647"
"51766","46","45","91"
"45245","0","1","1"
"55831","66","52","118"
"47371","6","38","44"
"50019","5","4","9"
"53766","15","15","30"
"48950","1","1","2"
"43951","","","132"
"55084","14","7","21"
"45084","1","1","2"
"52659","1","0","1"
"47405","144","78","222"
"46801","5","3","8"
"52590","5","5","10"
"55200","100","100","200"
"45377","20","16","36"
"48372","7","7","14"
"54349","2","5","7"
"52956","61","68","129"
"52236","42","40","82"
"55774","4","7","11"
"49265","8","3","11"
"54426","5","12","17"
"48753","13","26","39"
"53576","4","8","12"
"55237","3","2","5"
"46370","4","6","10"
"46646","13","32","45"
"48530","1","4","5"
"51310","1","2","3"
"47367","26","77","103"
"54805","10","20","30"
"42233","1","1","2"
"52210","0","8","8"
"47009","2","6","8"
"54005","1","2","3"
"50285","2","5","7"
"49444","11","6","17"
"53052","15","26","41"
"55199","34","20","54"
"42664","5","9","14"
"45851","70","74","144"
"42628","7","13","20"
"47354","59","68","127"
"49012","2","9","11"
"53156","24","14","38"
"55278","0","34","34"
"50982","1","1","2"
"52233","75","120","195"
"53663","6","84","90"
"50816","11","16","27"
"49518","205","58","263"
"55910","0","18","18"
"48998","1","1","2"
"44860","2","12","14"
"43359","10","6","16"
"49036","0","2","2"
"47350","1","2","3"
"48984","6","12","18"
"46720","0","5","5"
"50179","0","1","1"
"55842","7","6","13"
"45178","10","17","27"
"53969","1","3","4"
"55427","5","2","7"
"49556","12","7","19"
"44051","5","8","13"
"53142","10","20","30"
"54104","18","25","43"
"44580","10","8","18"
"46832","1","0","1"
"43923","2","7","9"
"45902","0","9","9"
"47522","11","16","27"
"49675","10","10","20"
"47386","12","25","37"
"43236","10","6","16"
"45559","2","1","3"
"54775","35","29","64"
"53772","15","25","40"
"51496","10","20","30"
"52281","7","6","13"
"49777","0","12","12"
"45299","4","40","44"
"51426","5","10","15"
"44662","5","4","9"
"48385","3","0","3"
"44265","2","4","6"
"54038","9","17","26"
"50677","20","19","39"
"53645","2","4","6"
"50081","85","46","131"
"48699","10","7","17"
"43330","6","8","14"
"43160","0","10","10"
"44231","13","21","34"
"55337","4","0","4"
"45924","2","5","7"
"46229","9","16","25"
"42566","12","25","37"
"52396","6","2","8"
"51381","4","6","10"
"47001","2","0","2"
"50773","2","7","9"
"48182","0","10","10"
"44398","2","0","2"
"50968","64","20","84"
"55415","12","48","60"
"45354","0","5","5"
"50734","0","6","6"
"53114","18","16","34"
"52817","17","16","33"
"55201","6","9","15"
"45439","11","15","26"
"46567","3","1","4"
"51652","5","10","15"
"44437","2","4","6"
"44368","30","4","34"
"55665","8","8","16"
"53078","7","7","14"
"50924","14","8","22"
"47817","5","2","7"
"55213","91","67","158"
"48249","2","7","9"
"45070","2","1","3"
"48552","1","3","4"
"44529","8","10","18"
"53363","183","248","431"
"42293","2","10","12"
"51660","8","10","18"
"47268","5","5","10"
"48314","0","1","1"
"42599","1","7","8"
"50073","11","8","19"
"47322","1","1","2"
"52701","2","12","14"
"43743","9","6","15"
"47369","10","14","24"
"43076","29","56","85"
"46202","2","4","6"
"46620","20","0","20"
"46833","2","0","2"
"54360","1","1","2"
"54843","3","2","5"
"54468","0","2","2"
"53165","2","3","5"
"44058","1","10","11"
"42744","15","24","39"
"53006","10","4","14"
"50357","5","7","12"
"55647","10","30","40"
"43224","2","0","2"
"55191","8","7","15"
"45221","2","5","7"
"53235","0","2","2"
"42728","5","26","31"
"45287","8","6","14"
"49252","10","25","35"
"55229","250","150","400"
"50593","21","38","59"
"44210","3","3","6"
"49475","22","9","31"
"50563","9","33","42"
"52968","18","26","44"
"50163","6","9","15"
"44349","42","12","54"
"48259","0","35","35"
"49996","2","5","7"
"52149","2","2","4"
"42223","1","4","5"
"48243","2","2","4"
"44950","10","10","20"
"50041","2","0","2"
"44562","5","8","13"
"46350","7","45","52"
"48283","45","45","90"
"51787","2","3","5"
"51332","0","2","2"
"47491","40","0","40"
"46448","5","12","17"
"48298","0","1","1"
"47403","0","5","5"
"52205","5","15","20"
"54096","5","19","24"
"54690","5","8","13"
"50949","1","0","1"
"45860","9","16","25"
"44615","1","0","1"
"46974","18","19","37"
"42706","0","7","7"
"45823","1","3","4"
"49283","2","5","7"
"51740","0","4","4"
"45241","3","1","4"
"52911","","","815"
"52584","30","20","50"
"52688","7","15","22"
"55911","10","10","20"
"48277","14","19","33"
"44199","7","7","14"
"50044","5","15","20"
"43212","2","3","5"
"42510","0","28","28"
"43657","36","54","90"
"48436","2","1","3"
"53640","50","150","200"
"47031","0","14","14"
"49806","3","5","8"
"52959","0","2","2"
"53099","4","0","4"
"44100","12","24","36"
"48239","46","146","192"
"53817","2","2","4"
"45186","2","21","23"
"53497","4","8","12"
"55013","0","1","1"
"44136","8","5","13"
"53423","68","101","169"
"52144","2","2","4"
"49034","4","0","4"
"53872","3","3","6"
"50877","28","23","51"
"49113","4","8","12"
"50319","2","2","4"
"45780","20","0","20"
"42374","8","2","10"
"47783","4","20","24"
"48784","8","11","19"
"55932","59","33","92"
"51653","1","6","7"
"49249","3","8","11"
"52202","1","2","3"
"44288","46","13","59"
"45231","5","11","16"
"51565","10","12","22"
"48131","0","1","1"
"49419","13","21","34"
"42793","4","5","9"
"50263","4","6","10"
"42543","0","1","1"
"45022","2","7","9"
"49441","4","8","12"
"49857","3","0","3"
"55306","1","8","9"
"50652","0","1","1"
"45993","3","2","5"
"50967","45","105","150"
"49594","2","3","5"
"49328","110","62","172"
"49906","5","9","14"
"51163","10","27","37"
"53213","2","7","9"
"47170","1","0","1"
"49900","2","5","7"
"53364","3","2","5"
"51258","6","3","9"
"47436","4","8","12"
"42492","3","12","15"
"47845","2","0","2"
"52854","8","3","11"
"50933","3","7","10"
"45518","15","7","22"
"48161","10","20","30"
"47725","1","1","2"
"49504","0","40","40"
"43576","16","39","55"
"48617","3","7","10"
"55610","4","16","20"
"43814","1","2","3"
"55364","6","13","19"
"49042","10","10","20"
"49586","10","5","15"
"50657","2","6","8"
"52615","3","6","9"
"48257","8","12","20"
"53840","3","4","7"
"50693","32","14","46"
"53633","0","1","1"
"49060","4","0","4"
"44578","2","16","18"
"47488","78","45","123"
"49671","32","112","144"
"53031","6","10","16"
"44361","5","8","13"
"55047","3","4","7"
"44897","20","138","158"
"50908","0","4","4"
"54428","18","30","48"
"45278","4","16","20"
"47955","1","2","3"
"52676","5","5","10"
"48447","1","1","2"
"55541","3","2","5"
"47734","20","20","40"
"55512","1","2","3"
"47036","5","5","10"
"49934","1","2","3"
"55076","2","2","4"
"42141","1","2","3"
"48486","20","20","40"
"54729","4","8","12"
"53315","16","26","42"
"45131","16","11","27"
"47060","297","612","909"
"53739","3","5","8"
"42807","12","17","29"
"47460","4","8","12"
"45795","4","12","16"
"45816","2","29","31"
"50813","0","3","3"
"48902","100","112","212"
"47101","4","2","6"
"51557","22","25","47"
"47708","1","4","5"
"44990","160","152","312"
"55072","2","0","2"
"44123","3","3","6"
"46013","4","4","8"
"47225","0","2","2"
"43045","3","9","12"
"46519","4","4","8"
"48156","3","3","6"
"49069","11","16","27"
"55129","0","8","8"
"53376","8","7","15"
"47251","6","20","26"
"55731","2","4","6"
"43961","1","2","3"
"45628","6","16","22"
"49276","6","10","16"
"45257","3","3","6"
"55694","12","7","19"
"49228","7","1","8"
"43643","4","2","6"
"51229","2","5","7"
"50566","2","0","2"
"45399","4","10","14"
"51326","0","1","1"
"45515","4","9","13"
"48822","9","12","21"
"51343","2","6","8"
