"id","course_id","enrolled_foreign_student_count_id"
"68001","1013154","58780"
"68010","1013192","58789"
"68013","1013192","58792"
"68018","1013202","58797"
"68019","1013202","58798"
"68020","1013176","58799"
"68026","1013139","58805"
"68034","1013179","58813"
"68053","1013772","58832"
"68054","1013772","58833"
"68055","1013772","58834"
"68056","1013772","58835"
"68057","1013772","58836"
"68063","1013868","58842"
"68064","1013863","58843"
"68067","1013892","58846"
"68074","1013940","58853"
"68081","1013929","58860"
"68090","1014435","58869"
"68096","1014495","58875"
"68165","1015966","48815"
"68203","1016797","58960"
"68212","1016801","58969"
"68221","1016824","58978"
"68223","1016784","58980"
"68230","1016770","58987"
"68397","1017771","59153"
"68404","1017777","59160"
"68405","1017777","59161"
"68419","1018012","59136"
"68420","1017590","59008"
"68431","1018012","59028"
"68433","1018160","59007"
"68435","1018110","58992"
"68436","1018032","59010"
"68437","1018110","59036"
"68447","1017555","59014"
"68457","1017530","59043"
"68464","1018012","59084"
"68470","1018012","59105"
"68482","1018012","59052"
"68500","1018110","59102"
"68506","1018110","59124"
"68510","1017530","59047"
"68515","1018012","59012"
"68529","1017239","59121"
"68530","1018110","59055"
"68541","1017406","59133"
"68543","1017416","59026"
"68557","1018160","59112"
"68558","1018160","59041"
"68567","1017591","59128"
"68568","1018012","59033"
"68576","1018572","59175"
"68596","1018796","59195"
"68600","1018869","59199"
"68604","1018900","59203"
"68605","1018900","59204"
"68613","1018968","59209"
"68615","1018968","59211"
"68616","1018968","59212"
"68619","1018962","59215"
"68658","1019118","59254"
"68677","1019714","59270"
"68679","1019714","59272"
"68680","1019714","59273"
"68681","1019714","59274"
"68683","1019714","59276"
"68684","1019714","59277"
"68685","1019714","59278"
"68696","1020228","59289"
"68701","1020238","59294"
"68702","1020238","59295"
"68703","1020238","59296"
"68711","1020236","59304"
"68749","1021709","59335"
"68754","1021694","59340"
"68760","1021664","59346"
"68762","1021709","59348"
"68764","1021693","59350"
"68768","1021664","59354"
"68769","1021664","59355"
"68774","1021709","59360"
"68775","1021664","59361"
"68777","1022012","59363"
"68778","1022040","59364"
"68780","1022020","59366"
"68788","1022012","59374"
"68789","1022040","59375"
"68790","1022020","59376"
"68793","1022012","59379"
"68794","1022040","59380"
"68795","1022020","59381"
"68798","1022040","59384"
"68800","1022012","59386"
"68801","1022020","59387"
"68806","1022012","59392"
"68807","1022040","59393"
"68808","1022020","59394"
"68811","1022020","59397"
"68813","1022020","59399"
"68815","1022040","59401"
"68816","1022020","59402"
"68819","1022040","59405"
"68822","1022012","59408"
"68823","1022040","59409"
"68914","1025232","59461"
"68931","1026274","59476"
"68936","1026404","59481"
"68937","1026404","59482"
"68938","1026478","59483"
"68955","1027066","59499"
"68958","1027066","59502"
"69037","1028458","59581"
"69042","1028494","59586"
"69072","1029388","59609"
"69083","1030002","59620"
"69085","1030002","59622"
"69086","1030002","59623"
"69202","1032772","59725"
"69212","1033037","59735"
"69213","1033037","59736"
"69214","1033052","59737"
"69220","1033170","59743"
"69229","1033572","59751"
"69231","1033795","59753"
"69232","1033795","59754"
"69233","1033795","59755"
"69237","1034556","59759"
"69238","1034556","59760"
"69242","1034565","59764"
"69281","1035326","59803"
"69282","1035326","59804"
"69283","1035326","59805"
"69284","1035326","59806"
"69308","1035516","59830"
"69312","1035512","59834"
"69333","1036491","59855"
"69334","1036491","59856"
"69335","1036491","59857"
"69336","1036491","59858"
"69337","1036491","59859"
"69338","1036491","59860"
"69351","1036678","59873"
"69352","1036678","59874"
"69353","1036678","59875"
"69354","1036678","59876"
"69364","1015465","58918"
"69373","1038300","59888"
"69386","1038939","59895"
"69387","1039066","59896"
"69388","1039067","59897"
"69390","1039066","59899"
"69391","1039067","59900"
"69393","1039066","59902"
"69395","1039067","59904"
"69397","1039067","59906"
"69398","1039067","59907"
"69400","1039066","59909"
"69401","1039066","59910"
"69402","1039066","59911"
"69403","1039067","59912"
"69404","1039067","59913"
"69408","1039764","59917"
"69409","1039764","59918"
"69450","1038871","59894"
"69451","1039946","59958"
"69452","1039946","59959"
"69453","1039946","59960"
"69454","1039946","59961"
"69455","1039946","59962"
"69473","1041361","59973"
"69572","1042177","60072"
"69573","1042177","60073"
"69594","996224","60087"
"69620","1043298","60109"
"69623","1043375","60112"
"69643","1043626","60132"
"69683","1045886","60172"
"69685","1045927","60174"
"69692","1045927","60181"
"69704","1047278","60190"
"69708","1047317","60194"
"69716","1047349","60202"
"69723","1047349","60209"
"69755","1048474","60235"
"69768","1048928","60245"
"69769","1048923","60246"
"69771","1048923","60248"
"69784","1050811","60261"
"69786","1050811","60263"
"69791","1050921","60268"
"69812","1051468","60283"
"69814","1051468","60285"
"69823","1051468","60294"
"69827","1051544","60298"
"69858","1051764","58405"
"69867","1009943","58475"
"69868","1051719","58417"
"69878","1009820","58415"
"69880","1009820","58420"
"69884","1009943","58507"
"69885","1009944","58402"
"69888","1051719","58486"
"69889","1051687","58414"
"69891","1009907","58495"
"69897","1009907","58410"
