"id","address_line1","address_line2","city","state_code","district_code","website","area","constructed_area","year_of_establishment","year_of_recognition","nodalofficer_id","location","awards_degree_through_university","university_id","girl_exclusive","staff_quarter_available","staff_quarter_id","student_hostel_available","no_of_student_hostel","management_id","name","survey_year","financial_income_id","financial_expenditure_id","infrastructure_id","remarks","latitude","longitude","scholarship_id","loan_id","is_accredited","is_foreign_students_enrolled","offers_scholarship","offers_loan","offers_distance_programme","pin_code","has_fellowships","fellowships_id","ministry_id","has_other_minority_data"
"13540","CHITRAVATHI CAMPUS, NH-07, B.B.ROAD, CHIKKABALLAPUR","","CHIKKABALLAPUR","29","582","","1","900","1970","1986","167228","U","false","","false","false","","false","0","2","GOVT TEACHERs TRAINIG INSTITUTE, CHIKBALLAPUR","2015","162781","162768","162764","","","","","","false","false","false","false","false","562101","false","","","false"
"2375","Basanti Colony ,Rourkela-12","","Rourkela","21","374","www.skdavpolytech.ac.in","19.1999999999999993","7039","1974","1994","167229","U","false","","false","true","44220","true","4","2","SKDAV POLYTECHNIC FOR WOMEN ROURKELA","2015","162782","162769","162765","","22.2541200000000003","84.1021300000000025","88395","12627","false","false","true","true","false","769012","false","","","false"
"1210","HADADI ROAD","","DAVANAGERE","29","567","www.drrgovtpolytechnic.org","23.0970000000000013","92388","1949","1949","167243","U","false","","false","true","44224","true","2","2","D R R (GOVT.) POLYTECHNIC DAVANAGERE","2015","162796","162783","162779","","14.4663400000000006","75.9238299999999953","88404","12628","false","false","true","true","false","577004","false","","","true"
"14034","PAKRI BEERBHADRA","","DEORIA","09","190","www.jkkbd.org","0.747999999999999998","2246.69999999999982","2012","2012","167245","R","false","","false","false","","false","0","6","JUGUL KISHOR KHETAN BRAHMDEV TIWARI SHKSHA AND PRAKSHIAN SANSTHAN, PAKRI BEERBHADRA","2015","162798","162785","162781","","","","","","false","false","false","false","false","274206","false","","","false"
"10223","AT.POST.BABALGAON TQ.LATUR.DIST.LATUR","AT.POST.BABALGAON TQ.LATUR.DIST.LATUR","LATUR.","27","524","www.dspmb.org","1.1100000000000001","3103.75","2006","2006","167263","R","false","","false","false","","false","0","2","VIVEKANAND ADHYAPAK VIDYALAYA BHABALGAON LATUR","2015","162816","162803","162799","OK","18.4123100000000015","76.5612339999999989","","","false","false","false","false","false","413573","false","","","false"
"9265","NEW BUSSTAND AHERI ROAD","GONDPIPARI","GONDPIPARI","27","509","gondpipareav.com","1.75","925.029999999999973","2005","2005","167273","R","false","","false","false","","false","0","6","GONDPIPRI COLLEGE OF EDUCATION GONDPIPRI CHANDRAPUR","2015","162826","162813","162809","","","","","","false","false","false","false","false","442902","false","","","false"
"4746","SHIROLWADI ROAD","","JAYSINGPUR","27","530","www.jjmnursing.com","3","3688.75","2014","2014","167274","U","true","0313","false","false","","true","1","6","DR J J MAGDUM SCHOOL OF NURSING KOLHAPUR","2015","162827","162814","162810","We  have started our first  (odd)  batch in the year 2014-15. And they will get result in 2016.  2014-15 no student applied  for education loan,total  teaching faculty working  are principal 1,  Associate professor 1,   Assistant professor 05 in each departments, Tutors 03. And tutors we could not upload in department. In admitted students & in scholarship we could not mention VJ-NT caste as it is not shown in above form(we mentioned it in Open only).We mean local body as out Dr.J.J.Magdum trust,Jaysingpur.","","","88415","12629","false","false","true","true","false","416101","false","","","false"
"9513","BARSHI ROAD, LATUR","DO","LATUR","27","524","www.vkavlatur.org","2","20","2006","2006","167275","U","false","","true","false","","false","0","3","LATE VASANTRAO KALE D. ED. COLLEGE BARSHI ROAD LATUR","2015","162828","162815","162811","","18.0426468600000014","76.5736320000000035","88416","","false","false","true","false","false","413512","false","","","false"
"2437","Govt.Polytechnic College,Bathinda","Bibiwala Road","Bathinda","03","046","www.gpcbathinda.org","22","21177","1985","1985","167279","U","false","","false","true","44235","true","2","2","GOVERNMENT POLYTECHNIC, BATHINDA","2015","162832","162819","162815","1.Affliated to Punjab State Board of Technical Education (PSBTE),Chandigarh and approved by AICTE,New Delhi.2.Workshop Supdtt, Foreman Instructor,Instructor counted as Demonstrator in Mechanical Deptt.3.Our aim is to promote infrastructure and facilities for Girls Students.","30.230713999999999","74.9850100000000026","88418","","false","false","true","false","false","151001","false","","","true"
"9507","BRAMHPURI ROAD WADSA","BRAMHPURI ROAD WADSA","WADSA","27","508","www.sevantadevidedcollege.org","4.84999999999999964","1600","2008","2008","167290","R","false","","false","false","","false","0","6","LATE SHRI LAXMANJI MOTGHARE CHARITABLE TRUST (WADSA) GADCHIROLI","2015","162843","162830","162826","","","","88423","","false","false","true","false","false","441207","false","","","false"
