"programme_id","broad_discipline_group_category_id","broad_discipline_group_id"
"071","32","185"
"071","32","186"
"071","24","143"
"071","24","091"
"071","24","146"
"071","24","093"
"071","24","094"
"071","24","096"
"071","24","097"
"071","24","098"
"071","24","099"
"071","24","100"
"071","24","101"
"071","24","174"
"071","24","156"
"071","24","107"
"071","24","104"
"071","24","177"
"071","24","106"
"033","06","012"
"173","15","052"
"035","07","122"
"035","07","013"
"035","07","014"
"035","07","015"
"035","07","016"
"035","07","017"
"035","07","018"
"035","07","019"
"035","07","020"
"035","07","123"
"035","07","185"
"035","07","022"
"035","07","023"
"035","07","024"
"035","07","025"
"035","07","026"
"035","07","124"
"035","07","125"
"035","07","126"
"185","25","108"
"185","25","109"
"185","25","110"
"185","25","111"
"185","25","116"
"185","25","119"
"185","25","112"
"185","25","113"
"185","25","114"
"185","25","115"
"186","18","133"
"187","32","183"
"188","32","182"
"188","32","183"
"188","32","095"
"188","32","184"
"188","32","185"
"188","32","186"
"188","24","143"
"188","24","091"
"188","24","146"
"188","24","093"
"188","24","094"
"188","24","096"
"188","24","097"
"188","24","098"
"188","24","099"
"188","24","100"
"188","24","101"
"188","24","174"
"188","24","156"
"188","24","107"
"188","24","104"
"188","24","177"
"188","24","106"
"086","01","001"
"086","01","004"
"086","01","005"
"086","01","006"
"086","02","008"
"086","03","009"
"086","03","121"
"086","04","010"
"086","29","179"
"086","05","011"
"086","30","180"
"086","30","181"
"086","06","012"
"086","07","122"
"086","07","013"
"086","07","014"
"086","07","015"
"086","07","016"
"086","07","017"
"086","07","018"
"086","07","019"
"086","07","020"
"086","07","123"
"086","07","185"
"086","07","022"
"086","07","023"
"086","07","024"
"086","07","025"
"086","07","026"
"086","07","124"
"086","07","125"
"086","07","126"
"086","08","027"
"086","09","028"
"086","09","127"
"086","09","029"
"086","09","030"
"086","31","003"
"086","10","031"
"086","10","032"
"086","10","033"
"086","10","035"
"086","10","034"
"086","11","036"
"086","12","123"
"086","12","038"
"086","12","039"
"086","13","040"
"086","13","041"
"086","13","042"
"086","13","043"
"086","13","044"
"086","13","050"
"086","13","045"
"086","13","046"
"086","13","047"
"086","13","048"
"086","13","049"
"086","32","182"
"086","32","183"
"086","32","095"
"086","32","184"
"086","32","185"
"086","32","186"
"086","14","051"
"086","15","131"
"086","15","128"
"086","15","129"
"086","15","130"
"086","15","052"
"086","16","053"
"086","17","054"
"086","18","132"
"086","18","133"
"086","18","055"
"086","18","135"
"086","18","056"
"086","18","136"
"086","18","057"
"086","18","137"
"086","18","138"
"086","18","058"
"086","18","060"
"086","18","139"
"086","18","140"
"086","18","059"
"086","19","061"
"086","20","062"
"086","20","063"
"086","20","064"
"086","20","143"
"086","20","144"
"086","20","145"
"086","20","146"
"086","20","065"
"086","20","066"
"086","20","067"
"086","20","147"
"086","20","148"
"086","20","149"
"086","20","150"
"086","20","068"
"086","20","069"
"086","20","070"
"086","20","141"
"086","20","142"
"086","20","071"
"086","20","136"
"086","20","152"
"086","20","153"
"086","20","155"
"086","20","156"
"086","20","157"
"086","20","158"
"086","20","159"
"086","20","072"
"086","20","160"
"086","20","161"
"086","20","162"
"086","20","073"
"086","20","078"
"086","20","074"
"086","20","075"
"086","20","076"
"086","20","163"
"086","20","164"
"086","20","165"
"086","20","166"
"086","20","167"
"086","20","168"
"086","20","169"
"086","20","077"
"086","20","170"
"086","21","079"
"086","21","080"
"086","21","081"
"086","22","082"
"086","22","083"
"086","23","084"
"086","23","085"
"086","23","086"
"086","23","087"
"086","23","088"
"086","23","089"
"086","24","143"
"086","24","091"
"086","24","146"
"086","24","093"
"086","24","094"
"086","24","096"
"086","24","097"
"086","24","098"
"086","24","099"
"086","24","100"
"086","24","101"
"086","24","174"
"086","24","156"
"086","24","107"
"086","24","104"
"086","24","177"
"086","24","106"
"086","25","108"
"086","25","109"
"086","25","110"
"086","25","111"
"086","25","174"
"086","25","116"
"086","25","119"
"086","25","112"
"086","25","175"
"086","25","113"
"086","25","114"
"086","25","115"
"086","25","177"
"086","26","117"
"086","34","120"
"086","34","007"
"086","27","118"
