"standalone_institution_id","department_id","survey_year"
"9876","749737","2015"
"5953","749738","2015"
"10054","749825","2015"
"9859","749876","2015"
"1252","749919","2015"
"1252","749920","2015"
"1252","749921","2015"
"1252","749922","2015"
"11074","749976","2015"
"12833","749978","2015"
"11071","749979","2015"
"10194","749996","2015"
"2115","750072","2015"
"2115","750073","2015"
"2115","750074","2015"
"2115","750075","2015"
"2115","750076","2015"
"2115","750077","2015"
"9961","750081","2015"
"1460","750107","2015"
"1460","750108","2015"
"1460","750109","2015"
"1460","750110","2015"
"1460","750111","2015"
"1460","750112","2015"
"1460","750113","2015"
"1460","750114","2015"
"6021","750124","2015"
"14504","750231","2015"
"13480","750239","2015"
"11020","750284","2015"
"2793","750305","2015"
"2793","750306","2015"
"2793","750307","2015"
"2793","750308","2015"
"2793","750309","2015"
"2793","750310","2015"
"2751","750364","2015"
"9803","750387","2015"
"1795","750445","2015"
"1795","750446","2015"
"1795","750447","2015"
"1795","750448","2015"
"1795","750449","2015"
"1795","750450","2015"
"1795","750451","2015"
"1795","750452","2015"
"1795","750453","2015"
"2258","750461","2015"
"2258","750462","2015"
"2258","750463","2015"
"2258","750464","2015"
"2258","750465","2015"
"2239","750506","2015"
"9181","750601","2015"
"14583","750652","2015"
"9215","750775","2015"
"9664","750779","2015"
"14431","750892","2015"
"14431","750893","2015"
"14431","750894","2015"
"2003","750971","2015"
"2003","750972","2015"
"2003","750973","2015"
"2003","750974","2015"
"2003","750975","2015"
"14866","751054","2015"
"2008","751056","2015"
"2008","751057","2015"
"2008","751058","2015"
"2008","751059","2015"
"2008","751060","2015"
"1916","751071","2015"
"1916","751072","2015"
"1916","751073","2015"
"1916","751074","2015"
"1916","751075","2015"
"1916","751076","2015"
"1916","751077","2015"
"1916","751078","2015"
"1916","751079","2015"
"1916","751080","2015"
"9013","751127","2015"
"2116","751212","2015"
"10384","751213","2015"
"1222","751297","2015"
"10870","751317","2015"
"10870","751318","2015"
"10870","751319","2015"
"10870","751320","2015"
"10870","751321","2015"
"9367","751435","2015"
"11127","751450","2015"
"9347","751495","2015"
"9763","751497","2015"
"11027","751587","2015"
"9911","751590","2015"
"10380","751591","2015"
"14982","751592","2015"
"4189","751594","2015"
"5985","751641","2015"
"9592","751730","2015"
"4364","751864","2015"
"9198","751907","2015"
"5803","751978","2015"
"5979","752122","2015"
"1720","752123","2015"
"1720","752124","2015"
"1720","752125","2015"
"1720","752126","2015"
"1720","752127","2015"
"12018","752168","2015"
"6468","752180","2015"
"9629","752207","2015"
"9659","752237","2015"
"9633","752292","2015"
"1910","752293","2015"
"10138","752302","2015"
"12209","752308","2015"
"9703","752324","2015"
"3219","752428","2015"
"3219","752429","2015"
"3219","752430","2015"
"4884","752475","2015"
"2253","752504","2015"
"6245","752650","2015"
"15022","752675","2015"
"4383","752680","2015"
"10067","752681","2015"
"3940","752682","2015"
"10081","752741","2015"
"6890","752752","2015"
"5684","752817","2015"
"9756","752827","2015"
"9516","752868","2015"
