"standalone_institution_id","survey_year","teaching_staff_sanctioned_strength_id"
"9859","2015","516260"
"9859","2015","516261"
"1252","2015","516292"
"1252","2015","516293"
"1252","2015","516294"
"1252","2015","516295"
"1252","2015","516296"
"11074","2015","516332"
"11074","2015","516333"
"11074","2015","516334"
"11074","2015","516335"
"12833","2015","516346"
"12833","2015","516347"
"12833","2015","516348"
"11071","2015","516349"
"11071","2015","516350"
"11071","2015","516351"
"10194","2015","516376"
"10194","2015","516377"
"10194","2015","516378"
"2115","2015","516425"
"2115","2015","516426"
"2115","2015","516427"
"9961","2015","516431"
"9961","2015","516432"
"9961","2015","516433"
"1460","2015","516451"
"1460","2015","516452"
"1460","2015","516453"
"1460","2015","516454"
"1460","2015","516455"
"6021","2015","516479"
"6021","2015","516480"
"6021","2015","516481"
"14504","2015","516550"
"14504","2015","516551"
"14504","2015","516552"
"14504","2015","516553"
"14504","2015","516554"
"14504","2015","516555"
"13480","2015","516567"
"13480","2015","516568"
"13480","2015","516569"
"11020","2015","516613"
"11020","2015","516614"
"11020","2015","516615"
"2793","2015","516637"
"2793","2015","516638"
"2793","2015","516639"
"2793","2015","516640"
"2751","2015","516676"
"2751","2015","516677"
"2751","2015","516678"
"2751","2015","516679"
"2751","2015","516680"
"9803","2015","516690"
"9803","2015","516691"
"9803","2015","516692"
"1795","2015","516745"
"1795","2015","516746"
"1795","2015","516747"
"1795","2015","516748"
"1795","2015","516749"
"1795","2015","516750"
"2258","2015","516763"
"2258","2015","516764"
"2258","2015","516765"
"2239","2015","516799"
"2239","2015","516800"
"2239","2015","516801"
"3764","2015","516827"
"3764","2015","516828"
"3764","2015","516829"
"9181","2015","516907"
"9181","2015","516908"
"9181","2015","516909"
"14583","2015","516943"
"14583","2015","516944"
"14583","2015","516945"
"9215","2015","517090"
"9215","2015","517091"
"9215","2015","517092"
"9664","2015","517096"
"9664","2015","517097"
"9664","2015","517098"
"14431","2015","517174"
"14431","2015","517175"
"14431","2015","517176"
"14431","2015","517177"
"14431","2015","517178"
"14431","2015","517179"
"2003","2015","517222"
"2003","2015","517223"
"2003","2015","517224"
"14866","2015","517267"
"14866","2015","517268"
"14866","2015","517269"
"2008","2015","517273"
"2008","2015","517274"
"2008","2015","517275"
"1916","2015","517282"
"1916","2015","517283"
"1916","2015","517284"
"1916","2015","517285"
"1916","2015","517286"
"9013","2015","517321"
"9013","2015","517322"
"9013","2015","517323"
"2116","2015","517381"
"2116","2015","517382"
"2116","2015","517383"
"10384","2015","517384"
"10384","2015","517385"
"10384","2015","517386"
"1222","2015","517426"
"1222","2015","517427"
"1222","2015","517428"
"1222","2015","517429"
"10870","2015","517473"
"10870","2015","517474"
"10870","2015","517475"
"9367","2015","517512"
"9367","2015","517513"
"9367","2015","517514"
"11127","2015","517521"
"11127","2015","517522"
"11127","2015","517523"
"9347","2015","517550"
"9347","2015","517551"
"9347","2015","517552"
"9763","2015","517556"
"9763","2015","517557"
"9763","2015","517558"
"11027","2015","517642"
"11027","2015","517643"
"11027","2015","517644"
"9911","2015","517648"
"9911","2015","517649"
"9911","2015","517650"
"10380","2015","517651"
"10380","2015","517652"
"10380","2015","517653"
"14982","2015","517654"
"14982","2015","517655"
"14982","2015","517656"
"4189","2015","517662"
"4189","2015","517663"
"4189","2015","517664"
"4189","2015","517665"
"4189","2015","517666"
"5985","2015","517710"
"5985","2015","517711"
"5985","2015","517712"
"9592","2015","517734"
"9592","2015","517735"
"9592","2015","517736"
"10140","2015","517784"
"10140","2015","517785"
"10140","2015","517786"
"4364","2015","517824"
"4364","2015","517825"
"4364","2015","517826"
"4364","2015","517827"
"4364","2015","517828"
"9198","2015","517849"
"9198","2015","517850"
"9198","2015","517851"
"9198","2015","517852"
"5803","2015","517935"
"5803","2015","517936"
"5803","2015","517937"
"5803","2015","517938"
"5979","2015","518044"
"5979","2015","518045"
"5979","2015","518046"
"1720","2015","518047"
"1720","2015","518048"
"1720","2015","518049"
