table_name,attribute_name,attribute_type,Description
,accreditation_id,int4,REFERENCES accreditation(id)
,standalone_institution_id,int4,"REFERENCES standalone_institution(id, survey_year)"
,,,
standalone_institution_course,survey_year,int4,"REFERENCES standalone_institution(id, survey_year)"
,standalone_institution_id,int4,"REFERENCES standalone_institution(id, survey_year)"
,course_id,int4,REFERENCES course(id)
,,,
standalone_institution_course_enrolled_foreign_student_count,survey_year,int4,"REFERENCES standalone_institution(id, survey_year)"
,standalone_institution_id,int4,"REFERENCES standalone_institution(id, survey_year)"
,course_enrolled_foreign_student_count_id,int4,REFERENCES course_enrolled_foreign_student_count(id)
,,,
standalone_institution_course_enrolled_student_count,standalone_institution_id,int4,"REFERENCES standalone_institution(id, survey_year)"
,course_enrolled_student_count_id,int4,REFERENCES course_enrolled_student_count(id)
,survey_year,int4,"REFERENCES standalone_institution(id, survey_year)"
,,,
standalone_institution_course_examination_result,standalone_institution_id,int4,"REFERENCES standalone_institution(id, survey_year)"
,survey_year,int4,"REFERENCES standalone_institution(id, survey_year)"
,course_examination_result_id,int4,REFERENCES course_examination_result(id)
,,,
standalone_institution_department,department_id,int4,REFERENCES department(id)
,survey_year,int4,"REFERENCES standalone_institution(id, survey_year)"
,standalone_institution_id,int4,"REFERENCES standalone_institution(id, survey_year)"
,,,
standalone_institution_enrolled_distance_student,survey_year,int4,"REFERENCES standalone_institution(id, survey_year)"
,standalone_institution_id,int4,"REFERENCES standalone_institution(id, survey_year)"
,enrolled_distance_student_institute_id,int4,REFERENCES enrolled_distance_student_institute(id)
,,,
standalone_institution_enrolled_foreign_student_count,enrolled_foreign_student_count_id,int4,REFERENCES enrolled_foreign_student_count(id)
,standalone_institution_id,int4,"REFERENCES standalone_institution(id, survey_year)"
,survey_year,int4,"REFERENCES standalone_institution(id, survey_year)"
,,,
standalone_institution_enrolled_regular_student,enrolled_regular_student_id,int4,REFERENCES enrolled_regular_student(id)
,survey_year,int4,"REFERENCES standalone_institution(id, survey_year)"
,standalone_institution_id,int4,"REFERENCES standalone_institution(id, survey_year)"
,,,
standalone_institution_examination_result,survey_year,int4,"REFERENCES standalone_institution(id, survey_year)"
,examination_result_id,int4,REFERENCES examination_result(id)
,standalone_institution_id,int4,"REFERENCES standalone_institution(id, survey_year)"
,,,
standalone_institution_faculty,standalone_institution_id,int4,"REFERENCES standalone_institution(id, survey_year)"
,faculty_id,int4,REFERENCES faculty(id)
,survey_year,int4,"REFERENCES standalone_institution(id, survey_year)"
,,,
standalone_institution_non_teaching_staff_count,survey_year,int4,"REFERENCES standalone_institution(id, survey_year)"
,non_teaching_staff_count_id,int4,REFERENCES non_teaching_staff_count(id)
,standalone_institution_id,int4,"REFERENCES standalone_institution(id, survey_year)"
,,,
standalone_institution_student_hostel,standalone_institution_id,int4,"REFERENCES standalone_institution(id, survey_year)"
,survey_year,int4,"REFERENCES standalone_institution(id, survey_year)"
,student_hostel_id,int4,REFERENCES student_hostel(id)
,,,
standalone_institution_teaching_staff,survey_year,int4,"REFERENCES standalone_institution(id, survey_year)"
,standalone_institution_id,int4,"REFERENCES standalone_institution(id, survey_year)"
,teaching_staff_id,int4,REFERENCES teaching_staff(id)
,,,
standalone_institution_teaching_staff_sanctioned_strength,standalone_institution_id,int4,"REFERENCES standalone_institution(id, survey_year)"
,survey_year,int4,"REFERENCES standalone_institution(id, survey_year)"
,teaching_staff_sanctioned_strength_id,int4,REFERENCES teaching_staff_sanctioned_strength(id)
,,,
student_hostel,id,int4,
,intake_capacity,int4,
