"college_institution_id","survey_year","teaching_staff_sanctioned_strength_id"
"54355","2015","724592"
"54355","2015","724593"
"54355","2015","724594"
"54821","2015","724595"
"54821","2015","724596"
"54821","2015","724597"
"28627","2015","724598"
"28627","2015","724599"
"28627","2015","724600"
"55528","2015","724614"
"55528","2015","724615"
"55528","2015","724616"
"47634","2015","724617"
"47634","2015","724618"
"47634","2015","724619"
"29414","2015","724620"
"29414","2015","724621"
"29414","2015","724622"
"29414","2015","724623"
"28871","2015","725202"
"28871","2015","725203"
"46580","2015","724624"
"46580","2015","724625"
"46580","2015","724626"
"28871","2015","725204"
"46771","2015","725214"
"46771","2015","725215"
"44393","2015","724647"
"44393","2015","724648"
"44393","2015","724649"
"44393","2015","724650"
"44393","2015","724651"
"44393","2015","724652"
"30757","2015","725205"
"30757","2015","725206"
"30757","2015","725207"
"30757","2015","725208"
"18400","2015","724662"
"18400","2015","724663"
"7956","2015","724667"
"7956","2015","724668"
"7956","2015","724669"
"48187","2015","724673"
"48187","2015","724674"
"48187","2015","724675"
"48187","2015","724676"
"55228","2015","724677"
"55228","2015","724678"
"55228","2015","724679"
"13444","2015","724680"
"13444","2015","724681"
"45134","2015","724682"
"45134","2015","724683"
"45134","2015","724684"
"30757","2015","725209"
"46771","2015","725216"
"46771","2015","725217"
"46771","2015","725218"
"44083","2015","724664"
"48607","2015","724665"
"48607","2015","724666"
"17643","2015","724688"
"17643","2015","724689"
"17643","2015","724690"
"17643","2015","724691"
"17643","2015","724692"
"17643","2015","724693"
"18452","2015","725210"
"18452","2015","725211"
"18452","2015","725212"
"18452","2015","725213"
"46392","2015","725219"
"55554","2015","724694"
"55554","2015","724695"
"55554","2015","724696"
"47313","2015","724697"
"47313","2015","724698"
"47313","2015","724699"
"47313","2015","724700"
"46392","2015","725220"
"46392","2015","725221"
"17627","2015","724701"
"781","2015","512306"
"781","2015","512307"
"781","2015","512308"
"575","2015","512316"
"575","2015","512317"
"575","2015","512318"
"575","2015","512319"
"49682","2015","512333"
"49682","2015","512334"
"49682","2015","512335"
"47930","2015","512349"
"47930","2015","512350"
"47930","2015","512351"
"48412","2015","512368"
"48412","2015","512369"
"48412","2015","512370"
"7154","2015","512371"
"7154","2015","512372"
"7154","2015","512373"
"6787","2015","512427"
"6787","2015","512428"
"47324","2015","512429"
"47324","2015","512430"
"47324","2015","512431"
"47821","2015","512435"
"47821","2015","512436"
"47821","2015","512437"
"49670","2015","512438"
"49670","2015","512439"
"49670","2015","512440"
"50328","2015","512441"
"50328","2015","512442"
"50328","2015","512443"
"50328","2015","512444"
"9983","2015","512445"
"9983","2015","512446"
"9983","2015","512447"
"7130","2015","512448"
"7130","2015","512449"
"7130","2015","512450"
"539","2015","512451"
"539","2015","512452"
"539","2015","512453"
"539","2015","512454"
"539","2015","512455"
"5868","2015","512461"
"5868","2015","512462"
"5868","2015","512463"
"5868","2015","512464"
"5868","2015","512465"
"5868","2015","512466"
"914","2015","512470"
"914","2015","512471"
"914","2015","512472"
"7188","2015","512486"
"7188","2015","512487"
"7188","2015","512488"
"7188","2015","512489"
"7188","2015","512490"
"7188","2015","512491"
"306","2015","512496"
"306","2015","512497"
"306","2015","512498"
"47822","2015","512499"
"47822","2015","512500"
"47822","2015","512501"
"6695","2015","512502"
"6695","2015","512503"
"6845","2015","512504"
"6845","2015","512505"
"6845","2015","512506"
"6854","2015","512519"
"6854","2015","512520"
"6854","2015","512521"
"6854","2015","512522"
"6854","2015","512523"
"44189","2015","512527"
"44189","2015","512528"
"44189","2015","512529"
"17869","2015","512542"
"17869","2015","512543"
"17869","2015","512544"
"7424","2015","512545"
"7424","2015","512546"
"22","2015","512547"
"22","2015","512548"
"22","2015","512549"
"22","2015","512550"
