"standalone_institution_id","student_hostel_id","survey_year"
"9412","152596","2015"
"9392","152601","2015"
"9392","152602","2015"
"7501","152634","2015"
"14000","152656","2015"
"14746","152678","2015"
"8451","152680","2015"
"10089","152686","2015"
"3773","152687","2015"
"13997","152691","2015"
"1289","152692","2015"
"1101","152693","2015"
"2287","152694","2015"
"2287","152695","2015"
"2287","152696","2015"
"2287","152697","2015"
"7493","152723","2015"
"2512","152724","2015"
"2512","152725","2015"
"6481","152735","2015"
"6481","152736","2015"
"9206","152742","2015"
"15155","152756","2015"
"15155","152757","2015"
"6036","152760","2015"
"6036","152761","2015"
"7496","152790","2015"
"2945","152791","2015"
"4099","152796","2015"
"3746","152808","2015"
"3247","152809","2015"
"3247","152810","2015"
"3247","152811","2015"
"13787","152813","2015"
"13787","152814","2015"
"4113","152820","2015"
"7850","152823","2015"
"7850","152824","2015"
"6336","152825","2015"
"6862","152826","2015"
"8658","152839","2015"
"7502","152846","2015"
"9548","152853","2015"
"7490","152876","2015"
"5881","152879","2015"
"1203","152885","2015"
"4540","152889","2015"
"9635","152890","2015"
"9635","152891","2015"
"5427","152894","2015"
"5427","152895","2015"
"5427","152896","2015"
"14574","152917","2015"
"14574","152918","2015"
"2599","152920","2015"
"6902","152924","2015"
"14968","152925","2015"
"2435","152956","2015"
"2435","152957","2015"
"12884","152961","2015"
"14006","153023","2015"
"5871","153024","2015"
"9325","153027","2015"
"3137","153029","2015"
"3137","153030","2015"
"4876","153031","2015"
"4876","153032","2015"
"12024","153037","2015"
"8252","153061","2015"
"8252","153062","2015"
"3836","153073","2015"
"4361","153077","2015"
"4361","153078","2015"
"2257","153084","2015"
"3082","153087","2015"
"3082","153088","2015"
"9131","153094","2015"
"1315","153098","2015"
"6500","153105","2015"
"6500","153106","2015"
"6500","153107","2015"
"3803","153118","2015"
"6314","153121","2015"
"7866","153149","2015"
"7866","153150","2015"
"10056","153157","2015"
"4341","153174","2015"
"4341","153175","2015"
"3784","153210","2015"
"3784","153211","2015"
"14081","153225","2015"
"14081","153226","2015"
"8148","153233","2015"
"8148","153234","2015"
"15187","153237","2015"
"15187","153238","2015"
"14465","153283","2015"
"13974","153288","2015"
"3241","153294","2015"
"3208","153319","2015"
"5546","153322","2015"
"2596","153342","2015"
"2596","153343","2015"
"5392","153351","2015"
"5392","153352","2015"
"10372","153355","2015"
"2908","153358","2015"
"5414","153359","2015"
"5414","153360","2015"
"10884","153365","2015"
"3062","153371","2015"
"14750","153388","2015"
"14750","153389","2015"
"3796","153399","2015"
"3796","153400","2015"
"3796","153401","2015"
"10069","153410","2015"
"3335","153430","2015"
"3335","153431","2015"
"3335","153432","2015"
"9251","153443","2015"
"9954","153461","2015"
"9954","153462","2015"
"1195","153464","2015"
"1195","153465","2015"
"3211","153471","2015"
"3211","153472","2015"
"3211","153473","2015"
"2419","153478","2015"
"2419","153479","2015"
"12099","153483","2015"
"7494","153490","2015"
"14610","153511","2015"
"14610","153512","2015"
"10229","153523","2015"
"9398","153526","2015"
"9398","153527","2015"
"3780","153547","2015"
"14021","153550","2015"
"1382","153575","2015"
"9410","153578","2015"
"9410","153579","2015"
"2429","153623","2015"
"4488","153626","2015"
"3955","153662","2015"
"3955","153663","2015"
"5862","153666","2015"
"4545","153683","2015"
"10947","153686","2015"
"10947","153687","2015"
"12742","153725","2015"
"12742","153726","2015"
"9328","153732","2015"
"4299","153743","2015"
"4299","153744","2015"
"9209","153755","2015"
"3762","153756","2015"
"1287","153776","2015"
"1287","153777","2015"
"535","153783","2015"
"535","153784","2015"
"14019","153788","2015"
"4418","153799","2015"
"4527","153806","2015"
"14007","153807","2015"
"5885","153809","2015"
"5885","153810","2015"
"10939","153815","2015"
"10939","153816","2015"
"10939","153817","2015"
"10939","153818","2015"
"13802","153821","2015"
"9247","153831","2015"
"10201","153835","2015"
"1322","153837","2015"
"4398","153852","2015"
"4398","153853","2015"
"2362","153878","2015"
"2362","153879","2015"
"2810","153884","2015"
"15133","153887","2015"
"2660","153888","2015"
"2660","153889","2015"
"12044","153910","2015"
"8817","153921","2015"
"8817","153922","2015"
"7380","153968","2015"
"7380","153969","2015"
"9041","153988","2015"
"3767","153993","2015"
"7751","154008","2015"
"1404","154033","2015"
"1404","154034","2015"
"8255","154054","2015"
"14011","154070","2015"
"8140","154074","2015"
"5814","154089","2015"
"14745","154090","2015"
"14745","154091","2015"
"9742","154105","2015"
"13979","154106","2015"
"5815","154125","2015"
"14002","154138","2015"
"2091","154146","2015"
"2091","154147","2015"
"14433","154148","2015"
"14433","154149","2015"
"15075","154181","2015"
"15075","154182","2015"
"8677","154209","2015"
"4788","154241","2015"
"4788","154242","2015"
"5971","154245","2015"
"11055","154251","2015"
"3050","154261","2015"
"3050","154262","2015"
"14003","154263","2015"
"13994","154265","2015"
"12198","154313","2015"
"5306","154321","2015"
"9880","154350","2015"
"12176","154357","2015"
"12176","154358","2015"
"12176","154359","2015"
"3670","154360","2015"
"11053","154369","2015"
"11053","154370","2015"
"14029","154371","2015"
"14029","154372","2015"
"4435","154373","2015"
"14016","154388","2015"
"3118","154405","2015"
"3118","154406","2015"
"3118","154407","2015"
"3118","154408","2015"
"1470","154409","2015"
"2399","154420","2015"
"2399","154421","2015"
"3981","154434","2015"
