"standalone_institution_id","survey_year","non_teaching_staff_count_id"
"1449","2015","447473"
"1449","2015","447474"
"13427","2015","447547"
"13992","2015","447601"
"13992","2015","447602"
"15169","2015","447613"
"15169","2015","447614"
"15169","2015","447615"
"14154","2015","447616"
"14154","2015","447617"
"14154","2015","447618"
"5800","2015","447619"
"8685","2015","447629"
"9222","2015","447714"
"5484","2015","447740"
"5491","2015","447799"
"5491","2015","447800"
"5491","2015","447801"
"5491","2015","447802"
"5491","2015","447803"
"5491","2015","447804"
"9205","2015","447864"
"9205","2015","447865"
"9205","2015","447866"
"10075","2015","447867"
"9897","2015","447870"
"9897","2015","447871"
"9380","2015","447885"
"9380","2015","447886"
"9380","2015","447887"
"9393","2015","447926"
"9393","2015","447927"
"12748","2015","447930"
"12748","2015","447931"
"10172","2015","447970"
"9566","2015","448048"
"13479","2015","448063"
"13479","2015","448064"
"9421","2015","448175"
"10455","2015","448201"
"10455","2015","448202"
"10455","2015","448203"
"10455","2015","448204"
"9045","2015","448262"
"9045","2015","448263"
"9045","2015","448264"
"9604","2015","448286"
"2976","2015","448306"
"2976","2015","448307"
"2976","2015","448308"
"2976","2015","448309"
"2976","2015","448310"
"2976","2015","448311"
"3910","2015","448322"
"3910","2015","448323"
"3910","2015","448324"
"9405","2015","448331"
"9518","2015","448351"
"13909","2015","448356"
"13909","2015","448357"
"13909","2015","448358"
"13909","2015","448359"
"1734","2015","448360"
"1734","2015","448361"
"1734","2015","448362"
"12641","2015","448390"
"12641","2015","448391"
"12641","2015","448392"
"15168","2015","448414"
"15168","2015","448415"
"15168","2015","448416"
"15168","2015","448417"
"9671","2015","448436"
"4572","2015","448502"
"10158","2015","448537"
"2192","2015","448544"
"2192","2015","448545"
"2192","2015","448546"
"2192","2015","448547"
"2192","2015","448548"
"9702","2015","448553"
"9702","2015","448554"
"5428","2015","448585"
"5428","2015","448586"
"5428","2015","448587"
"5428","2015","448588"
"5428","2015","448589"
"9917","2015","448590"
"9551","2015","448602"
"9551","2015","448603"
"9551","2015","448604"
"4030","2015","448605"
"10252","2015","448666"
"5982","2015","448723"
"1778","2015","448745"
"1778","2015","448746"
"1778","2015","448747"
"3768","2015","448748"
"10982","2015","448768"
"10982","2015","448769"
"9007","2015","448784"
"8689","2015","448857"
"8689","2015","448858"
"13968","2015","448863"
"15431","2015","588330"
"3771","2015","448929"
"3771","2015","448930"
"8640","2015","448935"
"8640","2015","448936"
"9990","2015","448951"
"13707","2015","448952"
"13707","2015","448953"
"13707","2015","448954"
"1841","2015","448990"
"1841","2015","448991"
"1841","2015","448992"
"11057","2015","448996"
"7412","2015","449028"
