"college_institution_id","survey_year","accreditation_id"
"22951","2015","23490"
"26180","2015","23491"
"1202","2015","23492"
"1202","2015","23493"
"856","2015","23494"
"6663","2015","23495"
"733","2015","23496"
"733","2015","23497"
"5834","2015","23500"
"44514","2015","23501"
"5916","2015","23502"
"5916","2015","23503"
"967","2015","23504"
"5946","2015","23505"
"17929","2015","23506"
"17929","2015","23507"
"11183","2015","23508"
"5840","2015","23509"
"7182","2015","23510"
"20702","2015","23513"
"34164","2015","23515"
"41392","2015","23516"
"5939","2015","23517"
"25515","2015","23518"
"6061","2015","23519"
"14680","2015","23520"
"25620","2015","23521"
"49710","2015","23522"
"5867","2015","23523"
"5867","2015","23524"
"899","2015","23525"
"41948","2015","23527"
"10196","2015","23528"
"949","2015","23529"
"50559","2015","23531"
"42877","2015","23532"
"1195","2015","23533"
"6849","2015","23534"
"6039","2015","23536"
"5912","2015","23537"
"6791","2015","23539"
"1198","2015","23540"
"1198","2015","23541"
"5893","2015","23551"
"14178","2015","23552"
"6900","2015","23553"
"34446","2015","23557"
"5821","2015","23558"
"5821","2015","23559"
"11486","2015","23560"
"25565","2015","23562"
"27200","2015","23563"
"498","2015","23569"
"498","2015","23570"
"44277","2015","23571"
"17152","2015","23572"
"43008","2015","23573"
"5842","2015","23574"
"6896","2015","23577"
"1017","2015","23578"
"6015","2015","23579"
"1165","2015","23580"
"1165","2015","23581"
"33430","2015","23582"
"6063","2015","23583"
"11196","2015","23584"
"984","2015","23585"
"749","2015","23586"
"749","2015","23587"
"6970","2015","23589"
"34756","2015","23591"
"926","2015","23593"
"18169","2015","23594"
"5866","2015","23595"
"5877","2015","23597"
"5858","2015","23598"
"11168","2015","23600"
"11004","2015","23601"
"5926","2015","23603"
"5926","2015","23604"
"17771","2015","23605"
"33494","2015","23609"
"6021","2015","23610"
"1210","2015","23611"
"502","2015","23615"
"989","2015","23616"
"556","2015","23617"
"1175","2015","23618"
"728","2015","23620"
"14945","2015","23621"
"25765","2015","23622"
"18684","2015","23623"
"18175","2015","23624"
"39564","2015","23625"
"5899","2015","23626"
"5969","2015","23627"
"1164","2015","23628"
"5889","2015","23629"
"25309","2015","23630"
"5864","2015","23633"
"52356","2015","23634"
"7587","2015","23636"
"34122","2015","23637"
"8106","2015","23639"
"5933","2015","23640"
"5862","2015","23641"
"5862","2015","23642"
"5942","2015","23644"
"6788","2015","23646"
"7462","2015","23647"
"32866","2015","23648"
"6780","2015","23649"
"5874","2015","23650"
"41707","2015","23652"
"9896","2015","23655"
"45278","2015","23656"
"25743","2015","23657"
"33551","2015","23659"
"47832","2015","23660"
"874","2015","23661"
"20667","2015","23662"
"14867","2015","23663"
"6011","2015","23665"
"6649","2015","23666"
"34533","2015","23667"
"33966","2015","23671"
"34226","2015","23672"
"6343","2015","23676"
"20817","2015","23677"
"38303","2015","23678"
"47839","2015","23679"
"25687","2015","23680"
"41740","2015","23681"
"7557","2015","23684"
"22904","2015","23685"
"17675","2015","23687"
"21002","2015","23688"
"308","2015","23689"
"308","2015","23690"
"1000","2015","23691"
"1000","2015","23692"
"15792","2015","23693"
"8923","2015","23694"
"13831","2015","23696"
"50272","2015","23697"
"25326","2015","23698"
"43917","2015","23699"
"5892","2015","23700"
"1050","2015","23702"
"6771","2015","23703"
"6771","2015","23704"
"11009","2015","23705"
"5817","2015","23708"
"7185","2015","23709"
"6087","2015","23712"
"18726","2015","23713"
"11014","2015","23714"
"35441","2015","23716"
"15681","2015","23721"
"15763","2015","23722"
"676","2015","23723"
"5940","2015","23724"
"28206","2015","23725"
"28280","2015","23726"
"34224","2015","23731"
"40322","2015","23732"
"40322","2015","23733"
"40322","2015","23734"
