"id","intake_capacity","name","students_residing","type_id"
"186675","100","G.M.VEDAK PRATISHTHANS GIRLS HOSTEL","35","2"
"158865","20","Akar Adhyapan Mandir","0","2"
"194050","100","College Hostel","0","2"
"188289","900","EXCEL BOYS HOSTEL","0","1"
"150976","95","SRI RAGHAVENDRA GIRLS HOSTEL","15","2"
"177678","200","Girls hostel","197","2"
"190613","50","0","50","1"
"192921","100","SBL BOYS HOSTEL","0","1"
"161734","60","BOYS","0","1"
"185092","116","Hostel Block No.2","473","1"
"157641","347","Kaveri","347","1"
"183464","40","OXBRIDGE BOYS HOSTEL","3","1"
"192547","100","GTP COLLEGE","33","2"
"165151","20","Girls Hostel","8","2"
"164336","20","Pattammal Nursing Hostel","30","2"
"156737","90","GYAN NIWAS","27","2"
"167215","40","Shabati Nursing Hostel","20","1"
"192218","60","DELTA","10","2"
"172266","100","Working womens hostel","140","2"
"151660","100","Government Pharmacy Boys Hostel for PG students","105","1"
"163187","80","VIRANGANAPHOLAN DEVI HOSTAL","60","1"
"169928","346","ASHWATHA","14","1"
"188649","120","Boys Hostel","48","1"
"189561","70","Girls Hostel","70","2"
"174162","35","Trigart Sanskrit Mahavidyalaya","30","1"
"179533","400","Arts College Boys Hostel","148","1"
"166221","30","TRW HOSTEL","30","1"
"180445","285","SHAHEED BHAGAT SINGH","270","1"
"158967","60","Rose Girls Hostel","60","2"
"150313","20","Type B","18","2"
"177271","800","A1 GIE&Tech Hostel","645","1"
"166436","40","SHRI RAM GIRLS HOSTEL","30","2"
"153224","150","SHRI PRINCE SHIAVJI MARATHA BOARDING","150","2"
"181182","100","Sai institute of Management, Girls Hostel","85","2"
"190516","90","MPB-69, M.N. I","10","2"
"165573","40","Women Hostel ( UGC funded )","30","2"
"153910","160","SAVITA SHARDA GIRLS HOSTEL","135","2"
"163395","50","Aryabhatta","13","1"
"191324","272","LADIES HOSTEL 2","224","2"
"191575","40","College of Biotechnology Girls Hostel","10","2"
"166591","50","T.T.N.College Girls Hostel","50","2"
"151594","200","Annai Illam","13","2"
"177532","10","Narikal Basti","3","1"
"157434","672","BOYS HOSTEL","660","1"
"160736","500","Arjun Boys Hostel","0","1"
"189384","20","Pandit Chainsukhadas","10","1"
"188225","30","PGPPM (Married House Units)","23","3"
"184263","120","Saberi","120","2"
"184330","30","Rani Women's Hostel","30","2"
"164985","20","Hostel No 2","6","1"
