"college_institution_id","student_hostel_id","survey_year"
"509","148605","2015"
"25450","148608","2015"
"45120","148613","2015"
"46600","148616","2015"
"46600","148617","2015"
"6842","148618","2015"
"6434","148620","2015"
"6434","148621","2015"
"6065","148624","2015"
"6065","148625","2015"
"20686","148628","2015"
"20686","148629","2015"
"20686","148630","2015"
"20686","148631","2015"
"20686","148632","2015"
"20686","148633","2015"
"11202","148634","2015"
"40113","148635","2015"
"40113","148636","2015"
"183","148637","2015"
"183","148638","2015"
"45059","148641","2015"
"45059","148642","2015"
"555","148643","2015"
"40357","148653","2015"
"40357","148654","2015"
"19949","148656","2015"
"6091","148668","2015"
"464","148669","2015"
"464","148670","2015"
"6851","148671","2015"
"187","148672","2015"
"6801","148673","2015"
"6801","148674","2015"
"11678","148675","2015"
"788","148676","2015"
"788","148677","2015"
"47871","148678","2015"
"47871","148679","2015"
"7392","148680","2015"
"6866","148684","2015"
"423","148685","2015"
"423","148686","2015"
"45206","148690","2015"
"45206","148691","2015"
"45206","148692","2015"
"265","148695","2015"
"854","148696","2015"
"854","148697","2015"
"41656","148698","2015"
"41656","148699","2015"
"44900","148700","2015"
"417","148701","2015"
"417","148702","2015"
"29238","148703","2015"
"29238","148704","2015"
"29238","148705","2015"
"29238","148706","2015"
"6101","148710","2015"
"41890","148711","2015"
"41890","148712","2015"
"165","148713","2015"
"165","148714","2015"
"40545","148717","2015"
"7051","148718","2015"
"7051","148719","2015"
"37104","148734","2015"
"37104","148735","2015"
"37104","148736","2015"
"6112","148737","2015"
"6112","148738","2015"
"6112","148739","2015"
"6112","148740","2015"
"6112","148741","2015"
"6112","148742","2015"
"6112","148743","2015"
"6112","148744","2015"
"6112","148745","2015"
"6112","148746","2015"
"51622","148749","2015"
"51622","148750","2015"
"45870","148757","2015"
"45870","148758","2015"
"827","148760","2015"
"45915","148771","2015"
"4123","148774","2015"
"4123","148775","2015"
"13837","148778","2015"
"194","148779","2015"
"194","148780","2015"
"352","148781","2015"
"352","148782","2015"
"352","148783","2015"
"352","148784","2015"
"8925","148785","2015"
"10296","148796","2015"
"10296","148797","2015"
"16413","148798","2015"
"10377","148799","2015"
"10377","148800","2015"
"9546","148801","2015"
"9546","148802","2015"
"7382","148807","2015"
"34010","148808","2015"
"34010","148809","2015"
"8474","148811","2015"
"8474","148812","2015"
"30698","148816","2015"
"30698","148817","2015"
"30698","148818","2015"
"30698","148819","2015"
"30698","148820","2015"
"30698","148821","2015"
"30698","148822","2015"
"30698","148823","2015"
"30698","148824","2015"
"6437","148825","2015"
"6437","148826","2015"
"50660","148827","2015"
"50660","148828","2015"
"50660","148829","2015"
"50659","148830","2015"
"50659","148831","2015"
"50659","148832","2015"
"6446","148833","2015"
"6446","148834","2015"
"6062","148835","2015"
"6062","148836","2015"
"820","148837","2015"
"820","148838","2015"
"289","148843","2015"
"289","148844","2015"
"47359","148845","2015"
"821","148849","2015"
"821","148850","2015"
"40420","148851","2015"
"40420","148852","2015"
"41938","148853","2015"
"41938","148854","2015"
"6648","148855","2015"
"49039","148866","2015"
"262","148867","2015"
"262","148868","2015"
"184","148869","2015"
"28085","148872","2015"
"28085","148873","2015"
"48614","148877","2015"
"48614","148878","2015"
"403","148879","2015"
"403","148880","2015"
"50788","148881","2015"
"50788","148882","2015"
"92","148895","2015"
"92","148896","2015"
"4097","148897","2015"
"4097","148898","2015"
"44393","194138","2015"
"11798","194289","2015"
"11798","194290","2015"
"40466","148936","2015"
"40466","148937","2015"
"7180","148938","2015"
"33694","148941","2015"
"33694","148942","2015"
"33694","148943","2015"
"40283","148953","2015"
"40283","148954","2015"
"1042","148955","2015"
"1042","148956","2015"
"33974","148959","2015"
"747","148965","2015"
"747","148966","2015"
"747","148967","2015"
"747","148968","2015"
"747","148969","2015"
"747","148970","2015"
"747","148971","2015"
"747","148972","2015"
"747","148973","2015"
"747","148974","2015"
"747","148975","2015"
"851","148978","2015"
"851","148979","2015"
"851","148980","2015"
"851","148981","2015"
"851","148982","2015"
"851","148983","2015"
"851","148984","2015"
"851","148985","2015"
"851","148986","2015"
"851","148987","2015"
"851","148988","2015"
"21920","148989","2015"
"21920","148990","2015"
"21920","148991","2015"
"997","148992","2015"
"997","148993","2015"
"997","148994","2015"
"997","148995","2015"
"997","148996","2015"
"997","148997","2015"
"997","148998","2015"
"997","148999","2015"
"997","149000","2015"
"997","149001","2015"
"997","149002","2015"
"866","149009","2015"
"35556","149010","2015"
"40401","149014","2015"
"40401","149015","2015"
"85","149018","2015"
"85","149019","2015"
"13973","149020","2015"
"33766","149021","2015"
"33766","149022","2015"
"759","149025","2015"
"41559","149026","2015"
"45108","149027","2015"
"21020","149036","2015"
"21020","149037","2015"
"49851","149038","2015"
"167","149039","2015"
"167","149040","2015"
"167","149041","2015"
"167","149042","2015"
"167","149043","2015"
"167","149044","2015"
"167","149045","2015"
"11553","149046","2015"
"100","149047","2015"
"100","149048","2015"
"6798","149049","2015"
"51034","149054","2015"
"24990","149057","2015"
"24990","149058","2015"
"1024","149059","2015"
"18595","149060","2015"
"47906","149061","2015"
"47906","149062","2015"
"40196","149063","2015"
"6860","149072","2015"
"7169","149073","2015"
"7169","149074","2015"
"40538","149075","2015"
"27463","149091","2015"
"27463","149092","2015"
"30797","149095","2015"
"4125","149102","2015"
"4125","149103","2015"
"45118","149108","2015"
"45118","149109","2015"
"6704","149117","2015"
"6032","149118","2015"
"381","149122","2015"
"381","149123","2015"
"44297","149127","2015"
"45056","149128","2015"
"45056","149129","2015"
