"id","level_id","programme_id","broad_discipline_group_category_id","broad_discipline_group_id","discipline","appeared_total","appeared_female","passed_total","passed_female","first_class_passed_total","first_class_passed_female"
"2515","3","117","20","072","Paediatrics Nursing","2","2","2","2","2","2"
"2516","3","133","07","023","Thermal Engineering - Part Time","8","0","4","0","4","0"
"2517","4","012","03","009","Commerce","1","0","1","0","1","0"
"2518","4","050","07","122","Aeronautical Engineering","17","1","10","1","8","1"
"2519","3","122","07","185","Information Technology","5","1","5","1","5","1"
"2520","3","131","20","068","General Medicine","17","0","15","0","4","0"
"2521","4","030","32","095","Computer Science","3","0","3","0","3","0"
"2522","3","150","20","164","Neurological Physiotherapy","3","1","3","1","3","1"
"2523","4","050","07","017","Computer Science and Engineering","163","15","121","15","81","15"
"2524","3","132","20","066","Conservative Dentistry and Endodontics","3","1","3","1","2","1"
"2525","3","133","07","020","Applied Electronics - Part Time","10","0","4","0","4","0"
"2526","3","152","20","073","Orthopaedics","9","0","7","0","2","0"
"2527","3","150","20","164","Sports Physiotherapy","2","2","2","2","2","2"
"2528","4","030","24","171","Biochemistry","1","0","1","0","1","0"
"2529","3","133","07","016","Construction Engineering and Management - Part Time","6","0","3","0","3","0"
"2530","6","183","20","076","Pharmacy","51","15","49","14","49","14"
"2531","3","152","20","148","ENT","10","2","7","2","3","1"
"2532","3","133","07","023","Thermal Engineering","3","0","1","0","1","0"
"2533","4","042","20","074","Audiology and Speech Language Pathology","9","3","5","2","4","2"
"2534","3","133","07","023","Manufacturing Engineering - Part Time","62","2","28","1","28","1"
"2535","3","131","20","078","Immuno Haematology and Blood Transfusion","2","0","2","0","0","0"
"2536","5","155","20","067","Dermatology, Venereology & Leprosy","2","2","2","2","0","0"
"2537","3","152","20","062","Anatomy","2","2","2","2","1","1"
"2538","3","108","20","076","Pharmaceutical Analysis","2","1","2","1","2","1"
"2539","3","111","32","095","Computer Science","3","2","3","2","2","1"
"2540","5","155","20","075","Child Health","5","1","4","1","1","0"
"2541","3","133","07","020","Embedded System Technology","4","0","3","0","3","0"
"2542","3","131","20","070","Obstetrics and Gyneacology","9","8","8","8","4","4"
"2543","3","132","20","066","Oral Medicine & Radiology","3","2","3","2","1","1"
"2544","4","050","07","017","Computer Science and Software Engineering","4","0","2","0","0","0"
"2545","3","131","20","063","Anesthesiology","5","2","5","2","3","1"
"2546","4","050","07","020","Electronics and Instrumentation Engineering - Part Time","6","0","4","0","4","0"
"2547","4","070","20","164","Physiotherapy","18","9","18","9","9","7"
"2548","3","122","07","026","Biotechnology","1","0","0","0","0","0"
"2549","4","050","07","026","Auto Mobile Engineering","38","0","31","0","26","0"
"2550","4","012","03","009","CA","1","0","1","0","1","0"
"2551","4","181","20","072","Nursing","5","5","5","5","5","5"
"2552","3","093","03","009","Commerce","1","0","1","0","1","0"
"2553","4","050","07","017","Computer Science and Engineering - Part Time","12","1","8","1","7","1"
"2554","3","117","20","072","Psychiatric Nursing","4","2","4","2","3","1"
"2555","3","117","20","072","Obstetrics and Gyneacological Nursing","3","3","3","3","3","3"
"2556","3","133","07","020","Power Electronics and Drives","5","0","5","0","5","0"
"2557","4","036","07","026","Biotechnology","42","19","38","19","33","19"
"2558","3","131","20","143","Bio-Chemistry","3","1","3","1","1","1"
"2559","3","111","24","174","Mathematics","13","2","10","2","10","2"
"2560","5","155","20","162","Ophthalmology","2","2","2","2","1","1"
"2561","4","050","07","020","Electronics and Instrumentation Engineering","19","1","13","1","3","1"
"2562","3","193","20","076","Pharmacy","25","17","25","17","25","17"
"2563","3","150","20","164","Paediatrics Physiotherapy","1","0","1","0","1","0"
"2564","3","111","24","104","Physics","2","0","0","0","0","0"
"2565","3","133","07","020","Power Electronics and Drives - Part Time","10","2","5","1","5","1"
"2566","3","133","07","020","Embedded System Technology - Part Time","8","4","4","2","4","2"
"2567","3","130","32","183","Computer Application - Part Time","16","7","16","7","16","7"
"2568","3","131","20","076","Pharmacology","2","1","2","1","2","1"
"2569","3","133","07","016","Structural Engineering","2","2","2","2","2","2"
"2570","4","050","07","016","Civil Engineering","147","3","109","3","75","3"
"2571","3","132","20","066","Orthodontics & Dentofacial Orthopaedics","2","0","2","0","0","0"
"2572","3","124","10","031","English","4","0","4","0","0","0"
"2573","3","131","20","078","Emergency Medicine","1","0","1","0","1","0"
"2574","4","046","32","183","Computer Application","2","1","2","1","2","1"
"2575","5","155","20","070","Obstetrics and Gyneacology","5","4","4","4","4","4"
"2576","3","132","20","066","Paedodontics & Preventive Dentistry","2","2","2","2","2","2"
"2577","3","117","20","072","Medical Surgical Nursing","7","3","7","3","7","3"
"2578","3","133","07","020","VLSI Design","2","0","2","0","2","0"
"2579","4","006","28","178","English","10","1","7","1","1","0"
"2580","3","097","06","012","Education","11","4","11","4","11","4"
"2581","3","133","07","016","Irrigation, Water management and Resource Engineering - Part Time","11","2","5","1","4","1"
"2582","3","133","07","020","VLSI Design - Part Time","10","4","5","2","5","2"
"2583","4","049","20","066","Dentistry","111","83","66","61","42","41"
"2584","3","133","07","026","Biomedical Engineering - Part Time","4","0","2","0","2","0"
"2585","3","131","20","168","Radio- Diagnosis","7","0","6","0","1","0"
"2586","3","133","07","016","Environmental Engineering - Part Time","13","5","5","2","5","2"
"2587","4","050","07","016","Civil Engineering - Part Time","114","13","85","11","48","7"
"2588","3","150","20","164","Cardio Thoracic Physiotherapy","1","0","1","0","1","0"
"2589","3","152","20","069","General Surgery","12","1","11","1","7","1"
"2590","4","050","07","020","Electronics and Communication Engineering","201","24","148","21","106","21"
"2591","3","150","20","164","Orthopaedics Physiotherapy","18","5","18","5","18","5"
"2592","3","111","20","078","Emergency and Critical Care","23","7","23","7","22","7"
"2593","3","133","07","017","Computer Science and Engineering","14","9","14","9","14","9"
"2594","3","133","07","017","Computer Science and Engineering - Part Time","25","9","10","4","10","4"
"2595","4","050","07","023","Mechanical Engineering - Part Time","109","2","93","1","88","1"
"2596","4","036","07","185","Information Technology - Part Time","1","0","1","0","1","0"
"2597","3","133","07","019","Power Systems Engineering - Part Time","54","22","25","11","25","11"
"2598","3","117","20","072","Community Health Nursing","3","2","3","2","2","1"
"2599","4","036","07","185","Information Technology","41","5","34","5","21","5"
"2600","4","050","07","019","Electrical and Electronics Engineering - Part Time","63","2","54","2","45","2"
