,id,no_of_libraries,no_of_laboratories,no_of_conference_halls,no_of_health_centers,no_of_computer_centers
347,206704,1.0,1.0,1.0,1.0,1.0
348,155752,1.0,1.0,0.0,1.0,1.0
349,171861,1.0,1.0,1.0,1.0,1.0
350,189306,1.0,1.0,1.0,1.0,1.0
351,154730,1.0,1.0,0.0,0.0,1.0
352,180458,1.0,1.0,1.0,0.0,1.0
353,170862,1.0,2.0,1.0,0.0,1.0
354,181923,1.0,1.0,0.0,0.0,0.0
355,185428,1.0,1.0,1.0,1.0,1.0
356,181786,1.0,1.0,1.0,0.0,1.0
357,185888,1.0,1.0,0.0,0.0,0.0
358,157981,1.0,0.0,1.0,0.0,1.0
359,161135,1.0,1.0,1.0,1.0,1.0
360,178245,1.0,1.0,1.0,1.0,1.0
361,181032,1.0,0.0,1.0,0.0,0.0
362,162713,1.0,0.0,0.0,0.0,1.0
363,180906,1.0,9.0,1.0,1.0,1.0
364,181315,1.0,1.0,1.0,0.0,1.0
365,205658,1.0,1.0,1.0,1.0,1.0
366,193819,1.0,1.0,1.0,1.0,1.0
367,168914,1.0,1.0,1.0,0.0,1.0
368,203796,0.0,0.0,0.0,0.0,0.0
369,193785,1.0,0.0,1.0,0.0,1.0
370,169811,1.0,109.0,1.0,1.0,1.0
371,165898,1.0,1.0,0.0,0.0,1.0
372,160814,1.0,1.0,1.0,1.0,1.0
373,191994,1.0,1.0,1.0,1.0,1.0
374,184733,1.0,1.0,1.0,1.0,1.0
375,170540,1.0,1.0,1.0,0.0,1.0
376,179583,1.0,5.0,1.0,1.0,1.0
377,188215,1.0,1.0,1.0,0.0,1.0
378,177137,1.0,3.0,0.0,0.0,0.0
379,182472,1.0,1.0,0.0,0.0,1.0
380,208335,2.0,1.0,2.0,0.0,2.0
381,172576,1.0,1.0,1.0,1.0,0.0
382,185913,1.0,1.0,0.0,0.0,1.0
383,194272,1.0,4.0,1.0,1.0,1.0
384,200079,1.0,5.0,0.0,0.0,1.0
385,162279,1.0,1.0,1.0,0.0,1.0
386,184532,1.0,0.0,1.0,0.0,1.0
387,203084,1.0,7.0,0.0,1.0,1.0
388,163241,0.0,0.0,0.0,0.0,0.0
389,159177,1.0,1.0,0.0,0.0,1.0
390,178166,1.0,2.0,0.0,0.0,1.0
391,157553,1.0,1.0,1.0,1.0,1.0
392,197142,1.0,1.0,1.0,1.0,1.0
393,165476,1.0,6.0,0.0,0.0,0.0
394,185236,1.0,0.0,0.0,0.0,0.0
395,177403,1.0,1.0,1.0,0.0,1.0
396,159517,1.0,1.0,1.0,0.0,1.0
