,id,city,state_code,university_id,no_of_student_hostel,name,infrastructure_id,latitude,longitude,offers_scholarship,ranking_factor,PTR ratio
23805,36597,SRI GANGANAGAR,8,406,1,M.D. Law College,191159,,,1,7.0,9
23806,14066,DUMARIAGANJ,9,508,2,"Maulana Azad Mahavidyalay, Baytaal, Kadirabad, Siddharthnagar",191168,,,0,33.0,11
23807,17184,Golakganj,18,52,0,Chilarai College,191160,26.1055618,89.8311875,1,15.0,10
23808,25344,NANDIGAMA,28,21,0,MRR COLLEGE OF MCA,191161,,,1,15.0,9
23809,46304,MATHURA UP,9,549,1,"SANSKRITI INSTITUTE OF HOTEL MANAGEMENT, MATHURA",191162,27.724301,77.502701,0,13.0,10
23810,22043,Nagarkurnool,36,28,0,"Pragathi College of Education, Nagarkurnool",191163,,,1,12.0,11
23811,21150,Bangalore - 560 092,29,215,2,"Kaveri First Grade College, No.354, F Block, Sahakaranagar, Bangalore -92",191164,,,0,17.0,11
23812,26236,BHARATPUR,8,418,0,"Bhartiya Homeopathic Medical College and Hospital, Bharatpur",191165,,,0,19.0,9
23813,46857,Kapur,9,549,2,"AXIS INSTITUTE OF PLANNING AND MANAGEMENT, KANPUR NAGAR",191166,26.344364000000002,80.452784,1,17.0,11
23814,27643,Chittoor,28,37,0,"Sri. R.K.M. Law College, Tirupati",191167,13.971620000000001,79.43151999999999,1,8.0,11
23815,25716,Ghatkesar,36,27,0,Omega College of Pharmacy,191170,,,1,15.0,11
23816,15120,AGRA,9,509,2,"ANAND COLLEGE OF EDUCATION KETHEM, AGRA",191171,27.239878000000004,78.844401,1,17.0,10
23817,26172,Hyderabad,36,27,0,"V.V. College of Arts, Commerce & Science and PG Studies",191172,17.150001,78.25000099999998,1,15.0,9
23818,35893,Karur,33,448,1,"Servite Arts and Science College for Women, Thogaimalai Panchayat, Kaladai Village, Karur Dist. - 621 313",191173,,,1,10.0,9
